LID,Glottocode,Language,WordOrderAPLex,WordOrderAPVLexFlexible,VFinalLex,VFinalOrFreeLex,VInitialLex,VMedialLex,WordOrderAPVBasicLex,WordOrderSVBasicLex,WordOrderAPBasicLex,WordOrderAVBasicLex,WordOrderPVBasicLex,PositionVBasicLex,PositionVBasicLexIsFinal,PositionVBasicLexIsFinalFree,PositionVBasicLexIsInitial,PositionVBasicLexIsMedial,WordOrderAPVSecondaryLex,WordOrderSVSecondaryLex,WordOrderAPSecondaryLex,WordOrderAVSecondaryLex,WordOrderPVSecondaryLex,PositionVSecondaryLex,PositionVSecondaryLexIsFinal,PositionVSecondaryLexIsFinalFree,PositionVSecondaryLexIsInitial,PositionVSecondaryLexIsMedial
77,fiji1243,Fijian (Boumaa),mixed,flexible,mixed,mixed,mixed,mixed,VOA,head-dep,OA,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,VAO,,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE
346,samo1305,Samoan,,flexible,non_final,other,initial,other,Vxx,,,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
146,kuii1253,Kui (Indonesia),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
343,sahu1245,Sahu,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
364,kula1280,Tanglapui,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
62,demt1241,Demta,,,,,,,,,,,,,,,,,,,,,,,,,,
61,lowe1415,Dani (Lower Grand Valley),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
415,nini1235,retire_Yali,,,,,,,,,,,,,,,,,,,,,,,,,,
130,west2599,Kewa,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
410,wiru1244,Wiru,,,,,,,,,,,,,,,,,,,,,,,,,,
