LID,Glottocode,Language,VerbInflectionExponenceType,VerbInflectionMaxCategoryCount,VerbInflectionMaxCategorySansAgreementCount,VerbInflectionMaxFormativeCount,VerbInflectionMaxFormativeSansAgreementCount,VerbHasBipartiteStem,VerbIsSyntacticallyCoherent,VerbSyntacticCoherencyNotes,VerbIsProsodicallyCoherent,VerbProsodicCoherencyNotes,VerbIsPhonologicallyCoherent,VerbPhonologicalCoherencyNotes,VerbIncorporation,VerbHasAnyIncorporation,VerbHasNounIncorporation,VerbHasVerbIncorporation,VerbHasNounOrVerbIncorporation,IsVerbInflectionSurveyComplete,VerbInflectionCategory,VerbInflectionMacrocategory,VerbInflectionMarkerPosition,VerbInflectionMarkerPositionBinned4,VerbInflectionMarkerPositionBinned5,VerbInflectionMarkerHasPreposedExponent,VerbInflectionMarkerHasPostposedExponent,VerbInflectionMarkerHasMultipleExponents,IsVerbAgreementSurveyComplete,VerbAgreementMicrorelation,VerbAgreementMarkerPosition,VerbAgreementMarkerPositionBinned4,VerbAgreementMarkerPositionBinned5,VerbAgreementMarkerHasPreposedExponent,VerbAgreementMarkerHasPostposedExponent,VerbAgreementMarkerHasMultipleExponents
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Causative,valence,,,,,,,TRUE,U-default,,,,,,
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Valence,valence,,,,,,,TRUE,A-default,prae,prae,prae,TRUE,FALSE,FALSE
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Valence,valence,,,,,,,TRUE,U-default,,,,,,
374,thai1261,Thai,distributive,2,2,3,3,FALSE,TRUE,,TRUE,no stress on formatives.,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,,,,,,,TRUE,,,,,,,
374,thai1261,Thai,distributive,2,2,3,3,FALSE,TRUE,,TRUE,no stress on formatives.,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,,,,,,,TRUE,,,,,,,
171,mand1415,Mandarin,separative,2,2,2,2,FALSE,FALSE,MW would code it as “1”,FALSE,MW would code it as “1”,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Aspect,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,,,,,,,
171,mand1415,Mandarin,separative,2,2,2,2,FALSE,FALSE,MW would code it as “1”,FALSE,MW would code it as “1”,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,TM,TAM+,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,,,,,,,
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Deixis,pragmatic,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,MSE,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Connective,inter-clausal,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Quantificational,number,in,in/simul,in,FALSE,,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Quantificational,number,in,in/simul,in,FALSE,,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Voice,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,in,in/simul,in,FALSE,,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
114,ingu1240,Ingush,separative,11,10,11,10,TRUE,FALSE,"Preverb complex and aux. both separable, both at least semiwords (77% words).",FALSE,up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Causative,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
443,koyr1240,Songhai (Koyra Chiini),cumulative,4,4,3,3,FALSE,FALSE,"See above.  Word order is strict, so movability isn’t a criterion.  MAN appears to be positioned relative to subject, not to verb.  (This is especially clear in Koroboro Senni, where word order is S MAN O V.)",FALSE,MAN (mood/aspect/negation) and future are separate words.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,MA,TAM+,,,,,,,TRUE,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),cumulative,4,4,3,3,FALSE,FALSE,"See above.  Word order is strict, so movability isn’t a criterion.  MAN appears to be positioned relative to subject, not to verb.  (This is especially clear in Koroboro Senni, where word order is S MAN O V.)",FALSE,MAN (mood/aspect/negation) and future are separate words.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,,,,,,,TRUE,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),cumulative,4,4,3,3,FALSE,FALSE,"See above.  Word order is strict, so movability isn’t a criterion.  MAN appears to be positioned relative to subject, not to verb.  (This is especially clear in Koroboro Senni, where word order is S MAN O V.)",FALSE,MAN (mood/aspect/negation) and future are separate words.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Tense,TAM+,,,,,,,TRUE,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),cumulative,4,4,3,3,FALSE,FALSE,"See above.  Word order is strict, so movability isn’t a criterion.  MAN appears to be positioned relative to subject, not to verb.  (This is especially clear in Koroboro Senni, where word order is S MAN O V.)",FALSE,MAN (mood/aspect/negation) and future are separate words.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Voice,valence,,,,,,,TRUE,,,,,,,
421,yoru1245,Yoruba,cumulative,5,4,4,3,TRUE,,,,"Preverbal isolating formatives (TAM, chiefly) have their own tones.  Each piece of bipartite stem has its own tone.",FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TA,TAM+,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
421,yoru1245,Yoruba,cumulative,5,4,4,3,TRUE,,,,"Preverbal isolating formatives (TAM, chiefly) have their own tones.  Each piece of bipartite stem has its own tone.",FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
421,yoru1245,Yoruba,cumulative,5,4,4,3,TRUE,,,,"Preverbal isolating formatives (TAM, chiefly) have their own tones.  Each piece of bipartite stem has its own tone.",FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
421,yoru1245,Yoruba,cumulative,5,4,4,3,TRUE,,,,"Preverbal isolating formatives (TAM, chiefly) have their own tones.  Each piece of bipartite stem has its own tone.",FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,Potentialis,TAM+,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae,prae,prae,TRUE,FALSE,FALSE
456,west2369,Persian,separative,6,4,6,4,TRUE,FALSE,Object is W. position clitic (or can be).,FALSE,"NB: Object is W. position clitic (or can be), but when it’s cliticized to the verb that is phonologically coherent.",,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
456,west2369,Persian,separative,6,4,6,4,TRUE,FALSE,Object is W. position clitic (or can be).,FALSE,"NB: Object is W. position clitic (or can be), but when it’s cliticized to the verb that is phonologically coherent.",,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,post,post,post,FALSE,TRUE,FALSE
456,west2369,Persian,separative,6,4,6,4,TRUE,FALSE,Object is W. position clitic (or can be).,FALSE,"NB: Object is W. position clitic (or can be), but when it’s cliticized to the verb that is phonologically coherent.",,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
456,west2369,Persian,separative,6,4,6,4,TRUE,FALSE,Object is W. position clitic (or can be).,FALSE,"NB: Object is W. position clitic (or can be), but when it’s cliticized to the verb that is phonologically coherent.",,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,post,post,post,FALSE,TRUE,FALSE
456,west2369,Persian,separative,6,4,6,4,TRUE,FALSE,Object is W. position clitic (or can be).,FALSE,"NB: Object is W. position clitic (or can be), but when it’s cliticized to the verb that is phonologically coherent.",,,,FALSE,FALSE,FALSE,FALSE,TRUE,Causative,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
