LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
126,kate1253,Kâte,A,H+D,2,2
126,kate1253,Kâte,P,H+D,2,2
126,kate1253,Kâte,POSS,H,H,H
126,kate1253,Kâte,S,H+D,2,2
128,kaya1319,Kayardild,A,D,D,D
128,kaya1319,Kayardild,ATTR,D,D,D
128,kaya1319,Kayardild,P,D,D,D
128,kaya1319,Kayardild,POSS,Dd,D,D
128,kaya1319,Kayardild,S,D,D,D
129,kett1243,Ket,A,H,H,H
129,kett1243,Ket,ATTR,Ø,Ø,Ø
129,kett1243,Ket,P,H,H,H
129,kett1243,Ket,POSS,H,H,H
129,kett1243,Ket,S,H,H,H
130,west2599,Kewa,A,H+D,2,2
130,west2599,Kewa,ATTR,Ø,Ø,Ø
130,west2599,Kewa,P,D,D,D
130,west2599,Kewa,POSS,D,D,D
130,west2599,Kewa,S,H+D,2,2
131,kima1246,Kimaama,A,Ø,Ø,Ø
131,kima1246,Kimaama,ATTR,Ø,Ø,Ø
131,kima1246,Kimaama,P,H,H,H
131,kima1246,Kimaama,POSS,D,D,D
131,kima1246,Kimaama,S,Ø,Ø,Ø
132,kiow1266,Kiowa,A,H,H,H
132,kiow1266,Kiowa,ATTR,Ø,Ø,Ø
132,kiow1266,Kiowa,P,H,H,H
132,kiow1266,Kiowa,POSS,d on h,FloatingorClitic,D on H
132,kiow1266,Kiowa,S,H,H,H
133,kiri1256,Kirikiri,A,D,D,D
133,kiri1256,Kirikiri,ATTR,Ø,Ø,Ø
133,kiri1256,Kirikiri,P,D,D,D
133,kiri1256,Kirikiri,POSS,Ø,Ø,Ø
133,kiri1256,Kirikiri,S,Ø,Ø,Ø
134,nort2930,Kiwai,A,H,H,H
134,nort2930,Kiwai,ATTR,Ø,Ø,Ø
134,nort2930,Kiwai,P,H,H,H
134,nort2930,Kiwai,POSS,Ø,Ø,Ø
134,nort2930,Kiwai,S,H,H,H
135,koas1236,Koasati,A,H+D,2,2
135,koas1236,Koasati,ATTR,Ø,Ø,Ø
135,koas1236,Koasati,P,H+D,2,2
135,koas1236,Koasati,POSS,H,H,H
135,koas1236,Koasati,S,H+D,2,2
136,kobo1249,Kobon,A,H,H,H
136,kobo1249,Kobon,ATTR,Ø,Ø,Ø
136,kobo1249,Kobon,P,Ø,Ø,Ø
136,kobo1249,Kobon,POSS,Ø,Ø,Ø
136,kobo1249,Kobon,S,H,H,H
138,komb1274,Kombai,A,H,H,H
138,komb1274,Kombai,ATTR,Ø,Ø,Ø
138,komb1274,Kombai,P,Ø,Ø,Ø
138,komb1274,Kombai,POSS,D,D,D
138,komb1274,Kombai,S,H,H,H
141,kore1280,Korean,A,D,D,D
141,kore1280,Korean,ATTR,Ø,Ø,Ø
141,kore1280,Korean,P,D,D,D
141,kore1280,Korean,POSS,D,D,D
141,kore1280,Korean,S,D,D,D
146,kuii1253,Kui (Indonesia),A,Ø,Ø,Ø
146,kuii1253,Kui (Indonesia),ATTR,Ø,Ø,Ø
146,kuii1253,Kui (Indonesia),P,H,H,H
146,kuii1253,Kui (Indonesia),POSS,H,H,H
146,kuii1253,Kui (Indonesia),S,Ø,Ø,Ø
147,kuna1268,Kunama,A,H+D,2,2
147,kuna1268,Kunama,P,D,D,D
147,kuna1268,Kunama,POSS,DD,D,D
147,kuna1268,Kunama,S,H+D,2,2
148,kung1261,!Kung,A,Ø,Ø,Ø
148,kung1261,!Kung,P,Ø,Ø,Ø
148,kung1261,!Kung,POSS,Ø,Ø,Ø
148,kung1261,!Kung,S,Ø,Ø,Ø
149,goon1238,Kuniyanti,A,H+D,2,2
149,goon1238,Kuniyanti,ATTR,Ø,Ø,Ø
149,goon1238,Kuniyanti,P,H+D,2,2
149,goon1238,Kuniyanti,POSS,D,D,D
149,goon1238,Kuniyanti,S,H+D,2,2
150,kute1249,Kutenai,A,H,H,H
150,kute1249,Kutenai,ATTR,D,D,D
150,kute1249,Kutenai,P,H+d,H,2
150,kute1249,Kutenai,POSS,H,H,H
150,kute1249,Kutenai,S,H,H,H
154,haka1240,Hakka Lai,A,H+D,2,2
154,haka1240,Hakka Lai,P,H+D,2,2
154,haka1240,Hakka Lai,POSS,Ø,Ø,Ø
154,haka1240,Hakka Lai,S,H+D,2,2
156,lako1247,Lakhota,A,H,H,H
156,lako1247,Lakhota,ATTR,Ø,Ø,Ø
156,lako1247,Lakhota,P,H,H,H
156,lako1247,Lakhota,POSS,H,H,H
156,lako1247,Lakhota,S,H,H,H
157,lama1277,Lamaholot,A,Ø,Ø,Ø
157,lama1277,Lamaholot,ATTR,Ø,Ø,Ø
157,lama1277,Lamaholot,P,Ø,Ø,Ø
157,lama1277,Lamaholot,POSS,Ø,Ø,Ø
157,lama1277,Lamaholot,S,Ø,Ø,Ø
159,lang1324,Lango,A,H,H,H
159,lang1324,Lango,ATTR,H+D,2,2
159,lang1324,Lango,P,h,H,H
159,lang1324,Lango,POSS,H,H,H
159,lang1324,Lango,S,H,H,H
