LID,Glottocode,Language,MarkerID,MarkerLabel,MarkerExemplar,MarkerForm,MarkerClausalDomain,MarkerMorphemeType,MarkerIsGrammaticalWord,MarkerIsPersonPortmanteau,MarkerHostRestriction,MarkerIsHostRestricted,MarkerFusion,MarkerFusionBinned6,MarkerFusionIsIsolating,MarkerFusionIsNonlinear,MarkerFusionIsReduplicative,MarkerFusionIsTonal,MarkerIsFlexive,MarkerHasLexicalFlexivity,MarkerStemFlexivity,MarkerFormativeFlexivity,MarkerLocus,MarkerLocusBinned6,MarkerLocusBinned5,MarkerPosition,MarkerPositionBinned4,MarkerPositionBinned5,MarkerHasPreposedExponent,MarkerHasPreposedDefaultExponent,MarkerHasPostposedExponent,MarkerHasMultipleExponents,MarkerHasMultipleDefaultExponents,MarkerBehavior,MarkerBehaviorBinned4,MarkerBehaviorIsSpreading,MarkerPlacement,MarkerSource,MarkerSlot,MarkerIsInOppositionToZero,MarkerHostCategory,MarkerHostProjectionType,MarkerHostSyntacticDomain,MarkerHostClausalDomain,MarkerExpressedMicrorelation,MarkerExpressedMacrorelation,MarkerExpressedCategoriesCount,MarkerExpressesMultipleCategories,MarkerExpressedCategory,MarkerExpressedMacrocategory
815,yort1237,Yorta Yorta,1781,ABS,,zero,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
815,yort1237,Yorta Yorta,1782,ERG,,"-(v)l for nouns, -(a)k for pronouns",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
815,yort1237,Yorta Yorta,1783,ALL,,"-ung, -uk, -nak – for Ns; –k for pronouns",,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,,,,,,,1,FALSE,Role,role
815,yort1237,Yorta Yorta,1784,,,,,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,,,,,,,0,FALSE,,
918,arab1267,Arabana,1785,DAT,,–ku /-nta (optionally with persons),argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,none,lex-based,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
2922,uppe1235,Tarom,1787,OBL,Case,"-e masc., -é fem, -ā́n pl, suppletive with pronouns",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative_or_suppletive,,,,,,TRUE,TRUE,,lex-based,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
2922,uppe1235,Tarom,1788,DIR,,"zero - masc. nouns, -a fem. nouns, -e - pl. nouns /suppletive for pronouns",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
408,west2443,Wemba Wemba,1790,ABS,,zero,,,FALSE,FALSE,restricted,TRUE,,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,n/a,,,,,,1,FALSE,Role,role
2923,kaja1247,Kajali,1791,DIR,,"zero - masc. sg, -a - fem. sg., -e - pl/ partially suppletive with pronouns",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,lex-based,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
2923,kaja1247,Kajali,1792,OBL,,"-e masc. sg, -e/-a - fem. sg., -on - pl / partially suppletive with pronouns",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,lex-based,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
