PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
3hum-high,,nominal,non-SAP,,3rd person human argument with a higher discourse rank than ‘3hum-low’ (where rank is determined by discourse factors with language-specific weights)
3hum-low,,nominal,non-SAP,,3rd person human argument with a lower discourse rank than ‘3hum-high’ (where rank is determined by discourse factors with language-specific weights)
3anim-nhum-high,,nominal,non-SAP,,3rd person animate non-human argument with a higher discourse rank than ‘3anim-nhum-low’ (where rank is determined by discourse factors with language-specific weights)
3anim-nhum-low,,nominal,non-SAP,,3rd person animate non-human argument with a lower discourse rank than ‘3anim-nhum-high’ (where rank is determined by discourse factors with language-specific weights)
3inanim-high,,nominal,non-SAP,,3rd person inanimate argument with a higher discourse rank than ‘3inanim-low’ (where rank is determined by discourse factors with language-specific weights)
3inanim-low,,nominal,non-SAP,,3rd person inanimate argument with a lower discourse rank than ‘3inanim-high’ (where rank is determined by discourse factors with language-specific weights)
3sg-inanim,,nominal,non-SAP,,inanimate singular referent (of the 3rd person)
3pl-inanim,,nominal,non-SAP,,inanimate plural referent (of the 3rd person)
3sg-inanim-high,,nominal,non-SAP,,inanimate singular referent (of the 3rd person) with higher discourse rank than 3sg/pl-inanim-low
3pl-inanim-high,,nominal,non-SAP,,inanimate plural referent (of the 3rd person) with higher discourse rank than 3sg/pl-inanim-low
3sg-inanim-low,,nominal,non-SAP,,inanimate singular referent (of the 3rd person) with lower discourse rank than 3sg/pl-inanim-high
3pl-inanim-low,,nominal,non-SAP,,inanimate plural referent (of the 3rd person) with lower discourse rank than 3sg/pl-inanim-high
independent,,verbal,verb-like,predicate,independent order forms in Algonquian verbs
conjunct,,verbal,verb-like,predicate,conjunct order forms in Algonquian verbs
3sg-anim-fobv,,nominal,non-SAP,,3rd person singular animate further obviative argument (i.e. with a lower dicourse rank than the 3rd person sg. animate low argument)
3pl-anim-fobv,,nominal,non-SAP,,3rd person plural animate further obviative argument (i.e. with a lower dicourse rank than the 3rd person pl. animate low argument)
3du-anim-high,,nominal,non-SAP,,3rd person dual animate argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3du-anim-low,,nominal,non-SAP,,3rd person dual animate argument with a lower discourse rank than ‘3sg-anim-high’ (where rank is determined by discourse factors with language-specific weights)
3du-inanim,,nominal,non-SAP,,inanimate dual referent (of the 3rd person)
1du,,nominal,SAP,,1st person dual
N-loc,,nominal,noun-like,argument,location nouns
N-nloc,,nominal,noun-like,argument,non-location nouns
N-topon,,nominal,noun-like,,toponym
N-nontopon,,nominal,noun-like,,non-toponym noun
du,,nominal,general,,dual
pl,,nominal,general,,plural
