LID,Glottocode,Language,HasCase,IsCaseCodedForDefaultPredicates,IsCaseCodedForDitransitivePredicates,IsCaseCodedForOtherPredicates,HasAgreement,IsAgreementCodedForDefaultPredicates,IsAgreementCodedForDitransitivePredicates,IsAgreementCodedForOtherPredicates,IsAgreementMarkersCodedForDefaultPredicates,IsAgreementMarkersCodedForDitransitivePredicates,IsAgreementMarkersCodedForOtherPredicates,PersonNumberCategory
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,2pl
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,2sg
63,kumi1248,Diegueño,TRUE,TRUE,,,,,,,,,,
64,dier1241,Diyari,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
65,dizi1235,Dizi,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,
66,dhuw1249,Djapu,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
68,djin1251,Djingili,TRUE,TRUE,TRUE,,TRUE,,,,,,,
1538,kenu1236,Nubian (Hill),TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,,FALSE,
71,dyir1250,Dyirbal,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
72,east2545,Pomo (Eastern),TRUE,TRUE,,,,,,,,,,
73,elam1244,Elamite,TRUE,TRUE,,,,,,,,,,
74,stan1293,English,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3sg
74,stan1293,English,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1sg
74,stan1293,English,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2sg
74,stan1293,English,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1pl
74,stan1293,English,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2pl
74,stan1293,English,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3pl
75,ewee1241,Ewe,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
77,fiji1243,Fijian (Boumaa),,,,,TRUE,FALSE,,,,,,
78,finn1318,Finnish,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
79,stan1290,French (colloquial),TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1pl
79,stan1290,French (colloquial),TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,2pl
79,stan1290,French (colloquial),TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1sg
79,stan1290,French (colloquial),TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,2sg
79,stan1290,French (colloquial),TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,3sg
79,stan1290,French (colloquial),TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,3pl
81,furr1244,Fur,,,,,TRUE,TRUE,TRUE,,,,,
84,gara1269,Garrwa,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
85,gbay1287,Gbeya,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
86,nucl1302,Georgian,TRUE,FALSE,,,TRUE,FALSE,,,,,,
87,stan1295,German,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
88,gitx1241,Gitksan,TRUE,TRUE,,,TRUE,FALSE,,,,,,
2272,pech1241,Pech,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,,,
91,gumu1244,Gumuz,TRUE,FALSE,,,TRUE,TRUE,,,,,,
93,gunw1252,Gunwinggu,TRUE,TRUE,,,TRUE,TRUE,,,,,,
1592,nort2938,Haida (Northern),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
98,haus1257,Hausa,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,3pl-low
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,2sg
99,hind1269,Hindi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,1sg
