LID,Glottocode,Language,SelectorID,MarkerID,SelectorType,SelectorLabel,ReferentialCondition,CoargumentAtr,CoargumentP,PredicateClassID,MarkerSlot,ClauseRankCondition,CategoryCondition,SyntacticDomainCondition,PolarityCondition,SelectedRoles
21,amha1245,Amharic,3999,4127,agreement (marker),tə- ‘2S/A’ (IMPF) S/A agreement,2sg,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,3999,4127,agreement (marker),tə- ‘2S/A’ (IMPF) S/A agreement,2sg,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,4000,4128,agreement (marker),tə-/yə- ‘3sS/A’ (IMPF) S/A agreement,3sg-high,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,4000,4128,agreement (marker),tə-/yə- ‘3sS/A’ (IMPF) S/A agreement,3sg-high,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,4000,4128,agreement (marker),tə-/yə- ‘3sS/A’ (IMPF) S/A agreement,3sg-low,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,4000,4128,agreement (marker),tə-/yə- ‘3sS/A’ (IMPF) S/A agreement,3sg-low,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,4001,4129,agreement (marker),ənnə- ‘1pS/A’ (IMPF) S/A agreement,1pl,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,4001,4129,agreement (marker),ənnə- ‘1pS/A’ (IMPF) S/A agreement,1pl,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,4002,4130,agreement (marker),yə- ‘3pS/A’ (IMPF) S/A agreement,3pl-high,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,4002,4130,agreement (marker),yə- ‘3pS/A’ (IMPF) S/A agreement,3pl-high,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,4002,4130,agreement (marker),yə- ‘3pS/A’ (IMPF) S/A agreement,3pl-low,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,4002,4130,agreement (marker),yə- ‘3pS/A’ (IMPF) S/A agreement,3pl-low,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,4003,4131,agreement (marker),-i ‘2sS/A’ (IMFV) S/A agreement,2sg,,,1,1IMPF,main,21_IPFV,,,S
21,amha1245,Amharic,4003,4131,agreement (marker),-i ‘2sS/A’ (IMFV) S/A agreement,2sg,,,2,1IMPF,main,21_IPFV,,,Atr
21,amha1245,Amharic,4004,4132,agreement (marker),-u ‘2/3pS/A’ (IMFV) S/A agreement,2pl,,,1,1IMPF,main,21_IPFV,,,S
21,amha1245,Amharic,4004,4132,agreement (marker),-u ‘2/3pS/A’ (IMFV) S/A agreement,2pl,,,2,1IMPF,main,21_IPFV,,,Atr
21,amha1245,Amharic,4004,4132,agreement (marker),-u ‘2/3pS/A’ (IMFV) S/A agreement,3pl-high,,,1,1IMPF,main,21_IPFV,,,S
21,amha1245,Amharic,4004,4132,agreement (marker),-u ‘2/3pS/A’ (IMFV) S/A agreement,3pl-high,,,2,1IMPF,main,21_IPFV,,,Atr
21,amha1245,Amharic,4004,4132,agreement (marker),-u ‘2/3pS/A’ (IMFV) S/A agreement,3pl-low,,,1,1IMPF,main,21_IPFV,,,S
21,amha1245,Amharic,4004,4132,agreement (marker),-u ‘2/3pS/A’ (IMFV) S/A agreement,3pl-low,,,2,1IMPF,main,21_IPFV,,,Atr
21,amha1245,Amharic,4005,4133,agreement (marker),-hu ‘1sS/A’ (PFV) S/A agreement,1sg,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4005,4133,agreement (marker),-hu ‘1sS/A’ (PFV) S/A agreement,1sg,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4006,4134,agreement (marker),-h ‘2sS/A’ (PFV) S/A agreement,2sg,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4006,4134,agreement (marker),-h ‘2sS/A’ (PFV) S/A agreement,2sg,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4007,4135,agreement (marker),-ä ‘3sS/A’ (PFV) S/A agreement,3sg-high,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4007,4135,agreement (marker),-ä ‘3sS/A’ (PFV) S/A agreement,3sg-high,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4007,4135,agreement (marker),-ä ‘3sS/A’ (PFV) S/A agreement,3sg-low,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4007,4135,agreement (marker),-ä ‘3sS/A’ (PFV) S/A agreement,3sg-low,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4008,4136,agreement (marker),-ən ‘1pS/A’ (PFV) S/A agreement,1pl,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4008,4136,agreement (marker),-ən ‘1pS/A’ (PFV) S/A agreement,1pl,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4009,4137,agreement (marker),-accəhu ‘2pS/A’ (PFV) S/A agreement,2pl,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4009,4137,agreement (marker),-accəhu ‘2pS/A’ (PFV) S/A agreement,2pl,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4010,4138,agreement (marker),-hu ‘3pS/A’ (PFV) S/A agreement,3pl-high,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4010,4138,agreement (marker),-hu ‘3pS/A’ (PFV) S/A agreement,3pl-high,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,4010,4138,agreement (marker),-hu ‘3pS/A’ (PFV) S/A agreement,3pl-low,,,1,1PFV,main,21_PFV,,,S
21,amha1245,Amharic,4010,4138,agreement (marker),-hu ‘3pS/A’ (PFV) S/A agreement,3pl-low,,,2,1PFV,main,21_PFV,,,Atr
21,amha1245,Amharic,325,1885,case marker or adposition,NOM case,N-def,,,1,,main,,,,S
21,amha1245,Amharic,325,1885,case marker or adposition,NOM case,N-def,,,2,,main,,,,Atr
21,amha1245,Amharic,325,1885,case marker or adposition,NOM case,N-def,,,3,,main,,,,Aditr
21,amha1245,Amharic,325,1885,case marker or adposition,NOM case,N-def,,,211,,main,,,,Atr
