LID,Glottocode,Language,NPPossessionLocusDistribution,NPHasPossessiveClassification,NPPossessiveClassificationType,NPHasBoundNouns,NPBoundNounsCount,NPHasAlienableClasses,NPAlienableClassesCount,NPHasInalienableClasses,NPInalienableClassesCount,NPHasPossessiveClasses,NPHasMultiplePossessiveClasses,NPPossessiveClassesCount
184,misk1235,Miskito,,,,,,,,,,,,
332,pipi1250,Pipil,,TRUE,,TRUE,1,,,,,,,
365,pure1242,Tarascan,"Alienable D, inalienable H",TRUE,classificatory,TRUE,1,,,TRUE,2,TRUE,TRUE,2
372,hueh1236,Tepehua (Huehuetla),None,,,,,,,,,,,
29,asha1243,Axininca Campa,"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,,,
599,chay1248,Chayahuita,"Alienable H, inalienable H",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
329,paum1247,Paumarí,"Alienable H, inalienable H",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
339,resi1247,Resígaro,"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,,,
162,lezg1247,Lezgi,None,TRUE,,FALSE,0,FALSE,0,FALSE,0,TRUE,FALSE,1
499,buki1249,Bukiyip,None,TRUE,,FALSE,0,FALSE,0,FALSE,0,TRUE,FALSE,1
511,kala1399,Greenlandic Eskimo (West),None,FALSE,semantic,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
642,egyp1253,Arabic (Egyptian),None,TRUE,,FALSE,0,FALSE,0,FALSE,0,TRUE,TRUE,2
491,mala1537,Malagasy,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
495,kron1241,Krongo,,TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
583,hebr1245,Hebrew (Modern),,,,,,FALSE,0,FALSE,0,,,
533,imba1240,Quechua (Imbabura),None,,,,,FALSE,0,FALSE,0,,,
644,kari1255,Kiriri (Kipea),"Alienable D+H, inalienable H",TRUE,classificatory,FALSE,0,TRUE,2,TRUE,1,TRUE,TRUE,3
645,hata1243,Hatam,Other,TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,TRUE,TRUE,2
383,trum1247,Trumaí,,TRUE,classificatory,FALSE,0,TRUE,2,TRUE,2,TRUE,TRUE,4
646,xokl1240,Xokleng,,,,,,,,,,,,
514,cent2142,Aymara,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
200,sout2994,Nambikwara,"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,FALSE,FALSE,0
648,boro1282,Bororo,"Alienables split, inalienables H",TRUE,classificatory,FALSE,0,TRUE,2,TRUE,2,TRUE,TRUE,4
432,coos1249,Hanis (Coos),,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,"Alienable D, inalienable H",TRUE,classificatory,FALSE,0,,,TRUE,1,TRUE,TRUE,3
649,jeri1242,Jeli,"Alienable D, inalienable Ø",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
654,nisg1240,Nisgha,,,,,,,,,,,,
305,izon1238,Ijo,"Alienable D, inalienable H",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
146,kuii1253,Kui (Indonesia),"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,TRUE,TRUE,2
157,lama1277,Lamaholot,None,,,,,FALSE,0,FALSE,0,FALSE,FALSE,0
364,kula1280,Tanglapui,"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,,,
64,dier1241,Diyari,"Alienable D, inalienable split",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
95,sout2956,Haida,"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,TRUE,TRUE,2
72,east2545,Pomo (Eastern),"Alienable D, inalienable H",TRUE,classificatory,,,TRUE,1,TRUE,2,TRUE,TRUE,3
299,nand1266,Nandi,,TRUE,,FALSE,0,FALSE,0,FALSE,0,TRUE,FALSE,1
608,mari1278,Mari,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
232,usar1243,Usarufa,"Alienable D, inalienable H",,classificatory,,,TRUE,1,TRUE,1,,,
669,gras1249,Koiari,"Alienable H, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,TRUE,TRUE,2
540,khas1269,Khasi,,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
668,yecu1235,Totonac (Misantla),,TRUE,,TRUE,1,,,,,TRUE,FALSE,1
634,saur1249,Malto,,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
221,diga1241,Mishmi,,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
44,carn1240,Car,,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
197,naha1261,Nahali,,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
455,cent2127,Yup’ik (Central),"Alienable D+H, inalienable D+H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,,,
682,yuca1254,Yucatec,,TRUE,classificatory,,,TRUE,1,TRUE,1,TRUE,TRUE,2
683,roma1327,Romanian,,,,,,FALSE,0,FALSE,0,,,
1,grea1241,Great Andamanese,"Alienable D, inalienable H",TRUE,classificatory,,,TRUE,1,TRUE,3,TRUE,TRUE,4
651,anii1246,//Ani,,TRUE,,FALSE,0,,,,,TRUE,TRUE,2
662,apat1240,Apatani,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
660,band1339,Bandjalang,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
629,chan1310,Chantyal,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
650,dogo1299,Dogon,,TRUE,,FALSE,0,,,,,TRUE,TRUE,2
663,drun1238,Drung,,,,,,,,,,,,
534,iraq1241,Iraqw,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
435,iris1253,Irish,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
206,nepa1254,Nepali,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
722,nort2722,Qiang (Northern),,TRUE,,TRUE,1,,,,,TRUE,FALSE,1
566,seme1247,Semelai,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
481,svan1243,Svan,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
402,ware1253,Warembori,,TRUE,,TRUE,1,,,,,TRUE,TRUE,3
413,khin1240,Xinalug,,TRUE,,FALSE,0,,,,,TRUE,TRUE,2
580,yidi1250,Yidiny,"Alienable D, inalienable Ø",TRUE,classificatory,,,TRUE,1,TRUE,1,TRUE,TRUE,2
666,coah1252,Coahuiltec,"Alienable D, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,TRUE,TRUE,2
635,sant1410,Santali,,TRUE,classificatory,,,TRUE,1,TRUE,2,TRUE,TRUE,3
558,mund1320,Mundari,,TRUE,classificatory,,,TRUE,1,TRUE,1,TRUE,TRUE,2
1750,khar1287,Kharia,,TRUE,classificatory,,,TRUE,1,TRUE,1,TRUE,FALSE,1
2994,sanf1258,Huave (San Francisco del Mar),"Alienable H, inalienable H",TRUE,classificatory,TRUE,2,TRUE,1,TRUE,2,TRUE,TRUE,3
2050,moco1246,Mocoví,,TRUE,,TRUE,1,TRUE,1,TRUE,1,,,
685,klam1254,Klamath,None,,,,,FALSE,0,FALSE,0,,,
