LID,Glottocode,Language,HasClusivity,ClusivityType,HasClusivityAsPerson,HasClusivityWithMinimalNumberSystem
499,buki1249,Bukiyip,FALSE,no i/e,FALSE,FALSE
500,hmon1264,Hmong Njua,FALSE,no i/e,FALSE,FALSE
463,nucl1310,Burmese,FALSE,no i/e,FALSE,FALSE
78,finn1318,Finnish,FALSE,no i/e,FALSE,FALSE
501,mani1292,Meithei,FALSE,no i/e,FALSE,FALSE
361,swah1253,Swahili,FALSE,no i/e,FALSE,FALSE
502,nucl1301,Turkish,FALSE,no i/e,FALSE,FALSE
87,stan1295,German,FALSE,no i/e,FALSE,FALSE
384,tuka1249,Tukang Besi,FALSE,no i/e,FALSE,FALSE
503,yaqu1251,Yaqui,FALSE,no i/e,FALSE,FALSE
504,greb1256,Grebo,FALSE,no i/e,FALSE,FALSE
505,daga1275,Daga,FALSE,no i/e,FALSE,FALSE
353,shus1248,Shuswap,TRUE,plain i/e type,FALSE,FALSE
61,lowe1415,Dani (Lower Grand Valley),FALSE,no i/e,FALSE,FALSE
209,ngal1293,Ngalakan,TRUE,min/aug type,TRUE,TRUE
506,maxa1247,Maxakalí,TRUE,excl as person type,TRUE,FALSE
507,yaou1238,Yaouré,TRUE,min/aug type,TRUE,TRUE
13,ayiw1239,Aiwo,TRUE,min/aug type,TRUE,TRUE
64,dier1241,Diyari,TRUE,plain i/e type,FALSE,FALSE
66,dhuw1249,Djapu,TRUE,plain i/e type,FALSE,FALSE
401,ward1246,Wardaman,TRUE,min/aug type,TRUE,TRUE
412,wiyo1248,Wiyot,FALSE,no i/e,FALSE,FALSE
508,yoku1256,Yokuts,TRUE,excl as person type,TRUE,FALSE
135,koas1236,Koasati,FALSE,no i/e,FALSE,FALSE
509,papa1238,Totonac (Papantla),FALSE,no i/e,FALSE,FALSE
134,nort2930,Kiwai,FALSE,no i/e,FALSE,FALSE
510,pitj1243,Pitjantjatjara,FALSE,no i/e,FALSE,FALSE
511,kala1399,Greenlandic Eskimo (West),FALSE,no i/e,FALSE,FALSE
399,wara1303,Warao,FALSE,no i/e,FALSE,FALSE
571,cent2194,Tamazight (Ayt Ndhir),FALSE,no i/e,FALSE,FALSE
583,hebr1245,Hebrew (Modern),FALSE,no i/e,FALSE,FALSE
529,anci1244,Hebrew (Biblical),FALSE,no i/e,FALSE,FALSE
461,onei1249,Oneida,FALSE,no i/e,FALSE,FALSE
456,west2369,Persian,FALSE,no i/e,FALSE,FALSE
564,rapa1244,Rapanui,TRUE,plain i/e type,FALSE,FALSE
464,mode1248,Greek (modern),FALSE,no i/e,FALSE,FALSE
533,imba1240,Quechua (Imbabura),FALSE,no i/e,FALSE,FALSE
569,stan1288,Spanish,FALSE,no i/e,FALSE,FALSE
515,bagi1246,Bagirmi,FALSE,no i/e,FALSE,FALSE
576,wari1268,Wari,TRUE,plain i/e type,FALSE,FALSE
553,luva1239,Luvale,FALSE,no i/e,FALSE,FALSE
550,lavu1241,Lavukaleve,TRUE,plain i/e type,FALSE,FALSE
527,even1259,Evenki,TRUE,plain i/e type,FALSE,FALSE
469,awac1239,Awa Pit,FALSE,no i/e,FALSE,FALSE
518,brah1256,Brahui,FALSE,no i/e,FALSE,FALSE
375,tibe1272,Tibetan (Standard Spoken),TRUE,plain i/e type,FALSE,FALSE
525,ekar1243,Ekari,FALSE,no i/e,FALSE,FALSE
642,egyp1253,Arabic (Egyptian),FALSE,no i/e,FALSE,FALSE
644,kari1255,Kiriri (Kipea),TRUE,excl as person type,TRUE,FALSE
383,trum1247,Trumaí,TRUE,excl as person type,TRUE,FALSE
646,xokl1240,Xokleng,FALSE,no i/e,FALSE,FALSE
514,cent2142,Aymara,TRUE,excl as person type,TRUE,FALSE
648,boro1282,Bororo,TRUE,plain i/e type,FALSE,FALSE
69,nubi1251,Nubian (Dongolese),FALSE,no i/e,FALSE,FALSE
114,ingu1240,Ingush,TRUE,plain i/e type,FALSE,FALSE
193,east2379,Mparntwe Arrernte,FALSE,no i/e,FALSE,FALSE
512,apur1254,Apurina,FALSE,no i/e,FALSE,FALSE
645,hata1243,Hatam,TRUE,min/aug type,TRUE,TRUE
526,epen1239,Epena Pedee,FALSE,no i/e,FALSE,FALSE
535,nucl1305,Kannada,FALSE,no i/e,FALSE,FALSE
566,seme1247,Semelai,TRUE,plain i/e type,FALSE,FALSE
540,khas1269,Khasi,FALSE,no i/e,FALSE,FALSE
208,nezp1238,Nez Perce,FALSE,no i/e,,
155,lakk1252,Lak,FALSE,no i/e,FALSE,FALSE
530,hunz1247,Hunzib,FALSE,no i/e,FALSE,FALSE
558,mund1320,Mundari,TRUE,excl as person type,TRUE,FALSE
654,nisg1240,Nisgha,FALSE,no i/e,FALSE,FALSE
577,wich1260,Wichita,TRUE,min/aug type,TRUE,TRUE
567,ship1254,Shipibo-Konibo,FALSE,no i/e,FALSE,FALSE
44,carn1240,Car,TRUE,plain i/e type,FALSE,FALSE
634,saur1249,Malto,TRUE,plain i/e type,FALSE,FALSE
413,khin1240,Xinalug,TRUE,plain i/e type,FALSE,FALSE
519,brib1243,Bribri,TRUE,plain i/e type,FALSE,FALSE
650,dogo1299,Dogon,FALSE,no i/e,,
534,iraq1241,Iraqw,FALSE,no i/e,FALSE,FALSE
629,chan1310,Chantyal,TRUE,plain i/e type,FALSE,FALSE
385,shos1248,Tümpisa Shoshone,TRUE,excl as person type,TRUE,FALSE
656,koro1312,Korowai,FALSE,no i/e,FALSE,FALSE
352,shua1257,Shuar,FALSE,no i/e,FALSE,FALSE
157,lama1277,Lamaholot,TRUE,plain i/e type,FALSE,FALSE
299,nand1266,Nandi,FALSE,no i/e,FALSE,FALSE
232,usar1243,Usarufa,FALSE,no i/e,,
158,lamm1241,Lamma,TRUE,plain i/e type,FALSE,FALSE
154,haka1240,Hakka Lai,FALSE,no i/e,,
599,chay1248,Chayahuita,TRUE,plain i/e type,FALSE,FALSE
666,coah1252,Coahuiltec,FALSE,no i/e,,
608,mari1278,Mari,FALSE,no i/e,,
404,warl1254,Warlpiri,TRUE,excl as person type,TRUE,FALSE
455,cent2127,Yup’ik (Central),FALSE,no i/e,,
82,gaga1251,Gaagudju,TRUE,min/aug type,TRUE,TRUE
145,darg1241,Dargi (Kubachi),FALSE,no i/e,FALSE,FALSE
580,yidi1250,Yidiny,FALSE,no i/e,,
669,gras1249,Koiari,TRUE,plain i/e type,FALSE,FALSE
660,band1339,Bandjalang,FALSE,no i/e,,
528,garo1247,Garo,TRUE,plain i/e type,FALSE,FALSE
402,ware1253,Warembori,TRUE,excl as person type,TRUE,FALSE
305,izon1238,Ijo,FALSE,no i/e,,
643,sout2778,Kisi,FALSE,no i/e,,
532,arhu1242,Ika,TRUE,plain i/e type,FALSE,FALSE
225,lahu1253,Lahu,TRUE,plain i/e type,FALSE,FALSE
18,aleu1260,Aleut,FALSE,no i/e,,
538,east2342,Kayah Li (Eastern),FALSE,no i/e,,
612,cent2128,Yup’ik (Siberian),FALSE,no i/e,,
152,kwak1269,Kwakwala,TRUE,excl as person type,TRUE,FALSE
582,abip1241,Abipon,FALSE,no i/e,,
620,arao1248,Araona,TRUE,excl as person type,TRUE,FALSE
649,jeri1242,Jeli,FALSE,no i/e,,
223,sout2729,Pumi,FALSE,no i/e,FALSE,FALSE
221,diga1241,Mishmi,FALSE,no i/e,FALSE,FALSE
60,cuit1236,Cuitlatec,FALSE,no i/e,FALSE,FALSE
686,daha1245,Dahalo,FALSE,no i/e,FALSE,FALSE
692,nucl1327,Limilngan,TRUE,min/aug type,TRUE,TRUE
1,grea1241,Great Andamanese,TRUE,min/aug type,TRUE,TRUE
1108,cadd1256,Caddo,FALSE,no i/e,FALSE,FALSE
635,sant1410,Santali,TRUE,plain i/e type,FALSE,FALSE
355,soma1255,Somali,TRUE,plain i/e type,FALSE,FALSE
655,gunw1252,Mayali,TRUE,min/aug type,TRUE,TRUE
668,yecu1235,Totonac (Misantla),FALSE,no i/e,,
942,avar1256,Avar,TRUE,plain i/e type,FALSE,FALSE
895,andi1255,Andi,TRUE,plain i/e type,FALSE,FALSE
872,akhv1239,Akhvakh,TRUE,plain i/e type,FALSE,FALSE
1149,cham1309,Chamalal,TRUE,plain i/e type,FALSE,FALSE
2572,tind1238,Tindi,TRUE,plain i/e type,FALSE,FALSE
2946,botl1242,Botlikh,TRUE,plain i/e type,FALSE,FALSE
1531,ghod1238,Godoberi,TRUE,plain i/e type,FALSE,FALSE
1807,kara1474,Karata,TRUE,plain i/e type,FALSE,FALSE
1840,bagv1239,Bagwalal,TRUE,plain i/e type,FALSE,FALSE
1263,dido1241,Tsez,FALSE,no i/e,FALSE,FALSE
1751,khva1239,Khwarshi,FALSE,no i/e,FALSE,FALSE
1542,hinu1240,Hinuq,FALSE,no i/e,FALSE,FALSE
1700,bezh1248,Bezhta,FALSE,no i/e,FALSE,FALSE
2826,darg1241,Dargi (standard),FALSE,no i/e,,
