ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
1494,Fore,,-6.75,145.5,fore1270,for,13054,Fore,Eastern Highlands,,Trans New Guinea,East New Guinea Highlands,Gorokan,,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
1495,Siraiya,,23,120.25,sira1267,fos,5942; 2289; 6286,"Siraiya, Siraya",Austronesian,,,,East Formosan,,,,,,,,,Eurasia,S/SE Asia,Oceania,Eurasia
1496,Fordata,,-6.75,131.5,ford1242,frd,2351,Fordata,Austronesian,,,,Malayo-Polynesian,Central Malayo-Polynesian non-clade,,,,,,,,Eurasia,NG and Oceania,Oceania,Pacific
1497,Guianese French Creole,,5,-53,guia1246,gcr,,Guianese French Creole,Guianese French Creole,,,,,,,,creole,,,,,South America,S America,NE South America,Americas
1498,Frisian (Western),,53,6,west2354,fry,,Frisian (Western),Indo-European,,,Indo-Uralic,Germanic,West Germanic,Frisian,,,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
1499,Frisian (North),,54.5,9,nort2626,frr,,Frisian (North),Indo-European,,,Indo-Uralic,Germanic,West Germanic,Frisian,,,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
1500,Frisian (Eastern),,53.58,7.5,east2288,frs,,Frisian (Eastern),Indo-European,,,Indo-Uralic,Germanic,West Germanic,Frisian,,,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
1501,Mairasi,,-3.5,134,nucl1594,zrs,,Mairasi,Mairasi,,,,,,,,,,,,,Pacific,NG and Oceania,N Coast New Guinea,Pacific
1502,Sign Language Finnish,,62,26,finn1310,fse,,Sign Language Finnish,Sign Language Finnish,,,,,,,,,,,signed,,Eurasia,N-C Asia,Inner Asia,Eurasia
1503,Sign Language French,,47,3,fren1243,fsl,,"Langue des Signes Française,Sign Language French",Sign Language French,,,,,,,,,,,signed,,Eurasia,W and SW Eurasia,Europe,Eurasia
1504,Fula (Senegal),,15,-14,pula1263,fuc,5650; 6586; 6415; 6683,"Fula (Senegal), Pulaar Fulfulde, Peul, Peulh",North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1505,Futuna (East),,-14.33,-178.17,east2447,fud,2384; 6315,Futuna (East),Austronesian,,,,Malayo-Polynesian,Oceanic,Central Pacific,Eastern Fijian-Polynesian linkage,,,,,,Eurasia,NG and Oceania,Oceania,Pacific
1506,Fula (Guinean),,11.5,-12.5,pula1262,fuf,5905,Fula (Guinean),North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1507,Fula (Burkina Faso),,14,0,west2454,fuh,6686,Fula (Burkina Faso),North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1508,Fulfulde (Maasina),,15,-5,maas1239,ffm,6587,Fulfulde (Maasina),North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1509,Yaté,,-8,-37.5,fuln1247,fun,6761,"Fulnio, Fulniô, Fulnió, Yatê, Furniô, Fornio, Carnijó",Macro-Ge,,,,Yaté,,,,,,,,,South America,S America,NE South America,Americas
1510,Bagiro,,4.33,20.58,furu1242,fuu,,Bagiro,Bongo-Bagirmi,,,Central Sudanic,,,,,,,,,,Africa,Africa,S Africa,Africa
1511,Fula (Nigerian),,8.17,10.5,nige1253,fuv,6659; 5907; 5906,"Fula (Nigerian), Kano-Katsina-Bororo Fulfulde, Fulfulde (Nigerian)",North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1512,Po-Ai,,-20.67,164.83,fwai1237,fwa,,"Fwâi, Fûai, Fwai, Po-Ai",Austronesian,,,,Malayo-Polynesian,Oceanic,Southern Oceanic linkage,Southern Melanesian,,,,,,Eurasia,NG and Oceania,Oceania,Pacific
1513,Ga'anda,,10.33,12.58,gaan1243,gqa,3393; 5831,Ga'anda,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,,,,,Africa,Africa,African Savannah,Africa
1514,Gã,,5.67,-0.17,gaaa1244,gaa,5895; 5838; 6840; 5963; 5563; 5837,Gã,Kwa,,Niger-Kordofanian,Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1515,Warekena,,1.5,-67.5,guar1293,gae,3670,Warekena,Arawakan,,,,North Amazonian,,,,,,,,,South America,S America,NE South America,Americas
1516,Gagauz,,46.33,28.67,gaga1249,gag,2961; 3632,Gagauz,Turkic,,,Altaic,Common Turkic,Oghuz,,,,,,,,Eurasia,W and SW Eurasia,Inner Asia,Eurasia
