LID,Glottocode,Language,MarkerHasPostposedExponentForTAM,MarkerHasPostposedExponentForPolarity,MarkerHasPostposedExponentForVoice,MarkerHasPostposedExponentForMood,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForAktionsart,MarkerHasPostposedExponentForConnective,MarkerHasPostposedExponentForSemistem,MarkerHasPostposedExponentForReferential,MarkerHasPostposedExponentForCausative,MarkerHasPostposedExponentForAspect,MarkerHasPostposedExponentForTM,MarkerHasPostposedExponentForDeixis,MarkerHasPostposedExponentForMSE,MarkerHasPostposedExponentForQuantificational,MarkerHasPostposedExponentForMA,MarkerHasPostposedExponentForTense,MarkerHasPostposedExponentForTA,MarkerHasPostposedExponentForPotentialis,MarkerHasPostposedExponentForApplicative,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForReflexiveAndReciprocal,MarkerHasPostposedExponentForVersion,MarkerHasPostposedExponentForIllocution,MarkerHasPostposedExponentForMTN,MarkerHasPostposedExponentForStatus,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForConstruct,MarkerHasPostposedExponentForNominalizer,MarkerHasPostposedExponentForHonorificity,MarkerHasPostposedExponentForFocus,MarkerHasPostposedExponentForSwitchReference,MarkerHasPostposedExponentForSymmetricalVoice,MarkerHasPostposedExponentForRECIP,MarkerHasPostposedExponentForTE,MarkerHasPostposedExponentForReflexive,MarkerHasPostposedExponentForClassifier,MarkerHasPostposedExponentForME,MarkerHasPostposedExponentForRepetition,MarkerHasPostposedExponentForSpatial,MarkerHasPostposedExponentForMotion,MarkerHasPostposedExponentForModality,MarkerHasPostposedExponentForDirection,MarkerHasPostposedExponentForPosterior,MarkerHasPostposedExponentForControl,MarkerHasPostposedExponentForQuotative,MarkerHasPostposedExponentForReversative,MarkerHasPostposedExponentForAffect,MarkerHasPostposedExponentForAE,MarkerHasPostposedExponentForTAME,MarkerHasPostposedExponentForConditional,MarkerHasPostposedExponentForPossessor,MarkerHasPostposedExponentForTAE,MarkerHasPostposedExponentForTN
674,limb1266,Limbu,,TRUE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,kham1282,Tibetan (Dege),TRUE,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,kinn1249,Kinnauri,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,klam1254,Klamath,,,,,,,,FALSE,,FALSE,TRUE,,,,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,
223,sout2729,Pumi,,TRUE,,,,FALSE,,,,,TRUE,,TRUE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,east2773,Newar (Dolakha),,FALSE,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,west2414,Gurung,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,mait1250,Maithili,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
632,wayu1241,Hayu,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,east2347,Tamang (Eastern),TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
2826,darg1241,Dargi (standard),TRUE,FALSE,TRUE,,,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
677,swed1254,Swedish,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,yidi1250,Yidiny,,,TRUE,,,FALSE,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,yele1255,Yelî Dnye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,murr1258,Murrinh-patha,FALSE,,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,nubi1251,Nubian (Dongolese),TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,tuvi1240,Tuva,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,shos1248,Tümpisa Shoshone,TRUE,TRUE,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,rabh1238,Rabha,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,marg1265,Margi,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,ghod1238,Godoberi,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,darg1241,Dargi (Icari),TRUE,FALSE,TRUE,,,,,FALSE,,,,,FALSE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
208,nezp1238,Nez Perce,,,,TRUE,,,,,,FALSE,TRUE,,,,FALSE,,TRUE,,,,TRUE,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,
192,movi1243,Movima,,,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
392,urar1246,Urarina,,,TRUE,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,leal1235,Chinantec (Lealao),,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,
50,chic1272,Chichimec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),TRUE,FALSE,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,selk1253,Selkup,,,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,thom1243,Thompson,,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,
678,bulg1262,Bulgarian,TRUE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
2330,poli1260,Polish,,FALSE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,slov1268,Slovene,,FALSE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,kaba1278,Circassian (East),,FALSE,,,,,,,,FALSE,,,FALSE,,,,TRUE,,,,,,FALSE,TRUE,,,TRUE,,,,,,,FALSE,,FALSE,,,,,,FALSE,,,,,,,,,,,,
3229,NA,Torlak Serbian,TRUE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
1890,lith1251,Lithuanian,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,latv1249,Latvian,,FALSE,,,,,,,,,FALSE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,roma1327,Romanian,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,croa1245,Serbian-Croatian,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,seri1257,Seri,,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,,,,,,,,,,,FALSE,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,
