LID,Glottocode,Language,HasHeadMarkingForA,HasHeadMarkingForP,HasHeadMarkingForPOSS,HasHeadMarkingForS,HasHeadMarkingForATTR,HasDependentMarkingForA,HasDependentMarkingForP,HasDependentMarkingForPOSS,HasDependentMarkingForS,HasDependentMarkingForATTR,HasHeadMarkingForSAndA,HasHeadMarkingForSOrA,HasHeadMarkingForAAndP,HasHeadMarkingForAOrP,HasDependentMarkingForSAndA,HasDependentMarkingForSOrA,HasDependentMarkingForAAndP,HasDependentMarkingForAOrP,LocusOfMarkingForUStim,LocusOfMarkingForADefault,LocusOfMarkingForSDefault,LocusOfMarkingForAct,LocusOfMarkingForUDefault,LocusOfMarkingForSDefaultIfOther,LocusOfMarkingForAExp,LocusOfMarkingForAAnim,LocusOfMarkingForTDefault,LocusOfMarkingForBDefault,LocusOfMarkingForGDefault,LocusOfMarkingForPat,LocusOfMarkingForUEmp,LocusOfMarkingForUDef,LocusOfMarkingForTDef,LocusOfMarkingForTEmp,LocusOfMarkingForUDefaultIfOther,LocusOfMarkingForBRec,LocusOfMarkingForBBen,LocusOfMarkingForLocative,LocusOfMarkingForIDefault,LocusOfMarkingForAPoss,LocusOfMarkingForURef,LocusOfMarkingForPOSSDefault,LocusOfMarkingForATTRDefault,LocusOfMarkingForPOSSDefaultIfOther,LocusOfMarkingForPOSSDefaultIfN,LocusOfMarkingForPOSSDefaultIfNAlien,LocusOfMarkingForPOSSDefaultIfPro,LocusOfMarkingForATTRDefaultIfOther,LocusOfMarkingForSDefaultIfPro,LocusOfMarkingForADefaultIfPro,LocusOfMarkingForUDefaultIfPro,LocusOfMarkingForPOSSDefaultIfNInal,LocusOfMarkingForSDefaultIfNOrPro,LocusOfMarkingForADefaultIfNOrPro,LocusOfMarkingForPOSSDefaultIfNOrPro,LocusOfMarkingForBDefaultIfOther,LocusOfMarkingForTDefaultIfOther,LocusOfMarkingForADefaultIfOther,LocusOfMarkingForBDefaultIfPro,LocusOfMarkingForUDefaultIfSAP,LocusOfMarkingForPOSSDefaultIf1PERS,LocusOfMarkingForSDefaultIfSAP,LocusOfMarkingForADefaultIfSAP,LocusOfMarkingForUDefaultIf1PERS,LocusOfMarkingForPOSSDefaultIfNKin,LocusOfMarkingForUDefaultIfN,LocusOfMarkingForUDefaultIfNAnim,LocusOfMarkingForADefaultIfN,LocusOfMarkingBinned5ForUStim,LocusOfMarkingBinned5ForADefault,LocusOfMarkingBinned5ForSDefault,LocusOfMarkingBinned5ForAct,LocusOfMarkingBinned5ForUDefault,LocusOfMarkingBinned5ForSDefaultIfOther,LocusOfMarkingBinned5ForAExp,LocusOfMarkingBinned5ForAAnim,LocusOfMarkingBinned5ForTDefault,LocusOfMarkingBinned5ForBDefault,LocusOfMarkingBinned5ForGDefault,LocusOfMarkingBinned5ForPat,LocusOfMarkingBinned5ForUEmp,LocusOfMarkingBinned5ForUDef,LocusOfMarkingBinned5ForTDef,LocusOfMarkingBinned5ForTEmp,LocusOfMarkingBinned5ForUDefaultIfOther,LocusOfMarkingBinned5ForBRec,LocusOfMarkingBinned5ForBBen,LocusOfMarkingBinned5ForLocative,LocusOfMarkingBinned5ForIDefault,LocusOfMarkingBinned5ForAPoss,LocusOfMarkingBinned5ForURef,LocusOfMarkingBinned5ForPOSSDefault,LocusOfMarkingBinned5ForATTRDefault,LocusOfMarkingBinned5ForPOSSDefaultIfOther,LocusOfMarkingBinned5ForPOSSDefaultIfN,LocusOfMarkingBinned5ForPOSSDefaultIfNAlien,LocusOfMarkingBinned5ForPOSSDefaultIfPro,LocusOfMarkingBinned5ForATTRDefaultIfOther,LocusOfMarkingBinned5ForSDefaultIfPro,LocusOfMarkingBinned5ForADefaultIfPro,LocusOfMarkingBinned5ForUDefaultIfPro,LocusOfMarkingBinned5ForPOSSDefaultIfNInal,LocusOfMarkingBinned5ForSDefaultIfNOrPro,LocusOfMarkingBinned5ForADefaultIfNOrPro,LocusOfMarkingBinned5ForPOSSDefaultIfNOrPro,LocusOfMarkingBinned5ForBDefaultIfOther,LocusOfMarkingBinned5ForTDefaultIfOther,LocusOfMarkingBinned5ForADefaultIfOther,LocusOfMarkingBinned5ForBDefaultIfPro,LocusOfMarkingBinned5ForUDefaultIfSAP,LocusOfMarkingBinned5ForPOSSDefaultIf1PERS,LocusOfMarkingBinned5ForSDefaultIfSAP,LocusOfMarkingBinned5ForADefaultIfSAP,LocusOfMarkingBinned5ForUDefaultIf1PERS,LocusOfMarkingBinned5ForPOSSDefaultIfNKin,LocusOfMarkingBinned5ForUDefaultIfN,LocusOfMarkingBinned5ForUDefaultIfNAnim,LocusOfMarkingBinned5ForADefaultIfN,LocusOfMarkingBinned6ForUStim,LocusOfMarkingBinned6ForADefault,LocusOfMarkingBinned6ForSDefault,LocusOfMarkingBinned6ForAct,LocusOfMarkingBinned6ForUDefault,LocusOfMarkingBinned6ForSDefaultIfOther,LocusOfMarkingBinned6ForAExp,LocusOfMarkingBinned6ForAAnim,LocusOfMarkingBinned6ForTDefault,LocusOfMarkingBinned6ForBDefault,LocusOfMarkingBinned6ForGDefault,LocusOfMarkingBinned6ForPat,LocusOfMarkingBinned6ForUEmp,LocusOfMarkingBinned6ForUDef,LocusOfMarkingBinned6ForTDef,LocusOfMarkingBinned6ForTEmp,LocusOfMarkingBinned6ForUDefaultIfOther,LocusOfMarkingBinned6ForBRec,LocusOfMarkingBinned6ForBBen,LocusOfMarkingBinned6ForLocative,LocusOfMarkingBinned6ForIDefault,LocusOfMarkingBinned6ForAPoss,LocusOfMarkingBinned6ForURef,LocusOfMarkingBinned6ForPOSSDefault,LocusOfMarkingBinned6ForATTRDefault,LocusOfMarkingBinned6ForPOSSDefaultIfOther,LocusOfMarkingBinned6ForPOSSDefaultIfN,LocusOfMarkingBinned6ForPOSSDefaultIfNAlien,LocusOfMarkingBinned6ForPOSSDefaultIfPro,LocusOfMarkingBinned6ForATTRDefaultIfOther,LocusOfMarkingBinned6ForSDefaultIfPro,LocusOfMarkingBinned6ForADefaultIfPro,LocusOfMarkingBinned6ForUDefaultIfPro,LocusOfMarkingBinned6ForPOSSDefaultIfNInal,LocusOfMarkingBinned6ForSDefaultIfNOrPro,LocusOfMarkingBinned6ForADefaultIfNOrPro,LocusOfMarkingBinned6ForPOSSDefaultIfNOrPro,LocusOfMarkingBinned6ForBDefaultIfOther,LocusOfMarkingBinned6ForTDefaultIfOther,LocusOfMarkingBinned6ForADefaultIfOther,LocusOfMarkingBinned6ForBDefaultIfPro,LocusOfMarkingBinned6ForUDefaultIfSAP,LocusOfMarkingBinned6ForPOSSDefaultIf1PERS,LocusOfMarkingBinned6ForSDefaultIfSAP,LocusOfMarkingBinned6ForADefaultIfSAP,LocusOfMarkingBinned6ForUDefaultIf1PERS,LocusOfMarkingBinned6ForPOSSDefaultIfNKin,LocusOfMarkingBinned6ForUDefaultIfN,LocusOfMarkingBinned6ForUDefaultIfNAnim,LocusOfMarkingBinned6ForADefaultIfN
170,mull1237,Malak-Malak,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,F+d,F+d,,F,,,,,,,,,,,,,,,,,,,D,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,FloatingorClitic,FloatingorClitic,,FloatingorClitic,,,,,,,,,,,,,,,,,,,D,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,F,,,,,,,,,,,,,,,,,,,D,,Ø,,,,,,,,,,,,,,,,,,,,,,,,
171,mand1415,Mandarin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Ø,Ø,,d,,,,d,,,,,,,,,,,,,,,d,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,Ø,Ø,,D,,,,D,,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,Ø,Ø,,D,,,,D,,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
173,mang1381,Mangarayi,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,D,,,,,,,,,,,,,,H+D,D,,,,,,,,,H,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,2,D,,,,,,,,,H,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,2,D,,,,,,,,,H,,,,,,,,,,,,,,,,
175,maor1246,Maori,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Ø,Ø,,D,,,,,D,,,,,,,,,,,,,,DD,,D,,,,,,,,,,,,,,,,,,,,,,,,,,Ø,Ø,,D,,,,,D,,,,,,,,,,,,,,D,,D,,,,,,,,,,,,,,,,,,,,,,,,,,Ø,Ø,,D,,,,,D,,,,,,,,,,,,,,D,,D,,,,,,,,,,,,,,,,,,,,,,,,
176,mapu1245,Mapudungun,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,,,,,,D,,,,H+d,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,,,,,,D,,,,H,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,,,,,,D,,,,2,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
177,marg1265,Margi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Ø,Ø,,Ø,,,,,D,,,,,,,,,,,,,,D,Ø,,,,H,,H,H,H,H,,,,,,,H,,,,,,,,,,,Ø,Ø,,Ø,,,,,D,,,,,,,,,,,,,,D,Ø,,,,H,,H,H,H,H,,,,,,,H,,,,,,,,,,,Ø,Ø,,Ø,,,,,D,,,,,,,,,,,,,,D,Ø,,,,H,,H,H,H,H,,,,,,,H,,,,,,,,,
178,mari1424,Marrithiyel,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H+d,H+d,,H,,,,,,,,,,,,,,,,,,,H,,Ø,,,D,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,Ø,,,D,,,,,,,,,,,,,,,,,,,,,,,2,2,,H,,,,,,,,,,,,,,,,,,,H,,Ø,,,D,,,,,,,,,,,,,,,,,,,,,
179,mart1255,Martuthunira,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,,,,,,,,,,H+D,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,,,,,,,,,,2,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,,,,,,,,,,2,,,,,,,,,,,,,,,,
180,wich1263,Mataco,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,H+d,,,,,,,,,,,H+d,,,,,,,H,F,,,,,Ø,,,,,,,,,,H+d,H+d,,,,,,,,,,,H,H,,H,H,,,,,,,,,,,H,,,,,,,H,FloatingorClitic,,,,,Ø,,,,,,,,,,H,H,,,,,,,,,,,H,H,,H,2,,,,,,,,,,,2,,,,,,,H,F,,,,,Ø,,,,,,,,,,2,2,,,,,,,,,
181,maun1240,Mawng,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,H,,,,,D,,,,,,,,,,,,,,Ø,,,,,D,,,,,H,,,,,,,,,,,,,,,,,,H,H,,H,,,,,D,,,,,,,,,,,,,,Ø,,,,,D,,,,,H,,,,,,,,,,,,,,,,,,H,H,,H,,,,,D,,,,,,,,,,,,,,Ø,,,,,D,,,,,H,,,,,,,,,,,,,,,,
184,misk1235,Miskito,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,Ø,,,,,,,,,,,,,,,,,,,H,,,,,,,H+D,H+D,D,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,,,,,,,,,,,,,,,H,,,,,,,2,2,D,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,,,,,,,,,,,,,,,H,,,,,,,2,2,D,,,,,,,,,,,,,,,,,
186,sanm1295,Mixtec (Chalcatongo),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,F,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,FloatingorClitic,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,F,,,,,,,,,,,,,,,,,,,,,
188,halh1238,Mongolian (Khalkha),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,,,,,,,,,,,,,,,,,,,D,D,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,,,,,,,,,,,,,,,D,D,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,,,,,,,,,,,,,,,D,D,,,,H,Ø,,,,,,,,,,,,,,,,,,,,
191,siwa1245,Motuna,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,D,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,
192,movi1243,Movima,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,H,,,,D,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,D,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,D,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,D,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,
196,murr1258,Murrinh-patha,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H+d,H+d,,H+d,,,,,,,,,,,,,,,,,,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,
197,naha1261,Nahali,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,D,,,,,,,,,,,,,,D,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,,Ø,,,,,,,,,,,,,,,,,,,,,,,,
198,naka1260,Nakkara,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H/D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,2,,H,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,
199,nama1264,Nama,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Ø,Ø,,D,,,,D,D,,,,,,,D on H,,,,,,,d,Ø,h+d on h,,,,,,,,,,,,D on H,D on H,,,,,,,,,,,,,Ø,Ø,,D,,,,D,D,,,,,,,FloatingorClitic,,,,,,,D,Ø,FloatingorClitic,,,,,,,,,,,,FloatingorClitic,FloatingorClitic,,,,,,,,,,,,,Ø,Ø,,D,,,,D,D,,,,,,,D on H,,,,,,,D,Ø,D on H,,,,,,,,,,,,D on H,D on H,,,,,,,,,,,
200,sout2994,Nambikwara,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,H,,,,,,,,,,,,,,H,F,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,H,,,,,,,,,,,,,,H,FloatingorClitic,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,H,,,,,,,,,,,,,,H,F,,,,,,,,,,,,,,,,,,,,,,,,,
201,nana1257,Nanai,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
202,natc1249,Natchez,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,D,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,D,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,D,,,,,,,,,,,,,,,,,,,,,,,,
205,nene1249,Nenets (Tundra),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,h+D,,,,,D,,,,,,,,,,,,,,D,D,,,,H,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,D,,,,H,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,D,D,,,,H,,,,,,,,,,,,,,,,,,,,,
206,nepa1254,Nepali,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,H+D,H+D,H+D,,D,,D,,D,D,,,D,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,D,,D,,D,D,,,D,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,D,,D,,D,D,,,D,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,
207,nara1262,Nera,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,,,,,,,,H+D,,,,,,,Ø,,,,,D,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,2,,,,,,,Ø,,,,,D,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,2,,,,,,,Ø,,,,,D,,,,,,,,,,,,,,,,,,,,,
208,nezp1238,Nez Perce,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,D,,H+,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,
210,wang1291,Ngiyambaa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,D on H,D,,D on H,,,,,D,,,,,,,,,,,,,,D,D,,,,,,,,,Ø,,,,,,,,,,,,,,,,,,FloatingorClitic,D,,FloatingorClitic,,,,,D,,,,,,,,,,,,,,D,D,,,,,,,,,Ø,,,,,,,,,,,,,,,,,,D on H,D,,D on H,,,,,D,,,,,,,,,,,,,,D,D,,,,,,,,,Ø,,,,,,,,,,,,,,,,
211,ngka1235,Ngkalmpw Knwme,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
221,diga1241,Mishmi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
225,lahu1253,Lahu,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,Ø,,,,D,,,,,,,Ø,,,,,,,D,D,Ø,,,,,,,,,,,,,,Ø,,,,,,,,,,,,D,D,,D,Ø,,,,D,,,,,,,Ø,,,,,,,D,D,Ø,,,,,,,,,,,,,,Ø,,,,,,,,,,,,D,D,,D,Ø,,,,D,,,,,,,Ø,,,,,,,D,D,Ø,,,,,,,,,,,,,,Ø,,,,,,,,,,
232,usar1243,Usarufa,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,Ø,,,,,Ø,,,,,,,H,,,,,,,D,Ø,H,,,,,,,,,,,,H,,,,,,,,,,,,,,H,H,,Ø,,,,,Ø,,,,,,,H,,,,,,,D,Ø,H,,,,,,,,,,,,H,,,,,,,,,,,,,,H,H,,Ø,,,,,Ø,,,,,,,H,,,,,,,D,Ø,H,,,,,,,,,,,,H,,,,,,,,,,,,
299,nand1266,Nandi,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,D on H,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,FloatingorClitic,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D on H,D,,,,,,,,,,,,,,,,,,,,,,,,,
305,izon1238,Ijo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Ø,Ø,,Ø,,,,,,,,,,,,,,,,,,,Ø,,,,,D,,D,D,D on H,,,,,,,,,,,,,,,,,,,Ø,Ø,,Ø,,,,,,,,,,,,,,,,,,,Ø,,,,,D,,D,D,FloatingorClitic,,,,,,,,,,,,,,,,,,,Ø,Ø,,Ø,,,,,,,,,,,,,,,,,,,Ø,,,,,D,,D,D,D on H,,,,,,,,,,,,,,,,,
317,nuuc1236,Nuuchahnulth,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,Ø,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,
318,nung1290,Nunggubuyu,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,
