LID,Glottocode,Language,NPHasAgreement,NPHasConstructMarkers,NPHasGovernment,NPHasOvertMarking,NPHasAdjAgreement,NPHasAdjConstructMarkers,NPHasAdjGovernment,NPHasAdjOvertMarking
481,svan1243,Svan,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
488,veng1238,Babungo,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
493,bara1380,Barasano,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
494,viet1252,Vietnamese,,,,FALSE,,,,FALSE
495,kron1241,Krongo,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
496,indo1316,Indonesian,,,,FALSE,FALSE,FALSE,FALSE,FALSE
499,buki1249,Bukiyip,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
500,hmon1264,Hmong Njua,,TRUE,,TRUE,,,,FALSE
501,mani1292,Meithei,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
502,nucl1301,Turkish,TRUE,,,TRUE,,,,TRUE
503,yaqu1251,Yaqui,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
504,greb1256,Grebo,TRUE,,TRUE,TRUE,TRUE,,,TRUE
505,daga1275,Daga,TRUE,,,TRUE,,,,FALSE
511,kala1399,Greenlandic Eskimo (West),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
512,apur1254,Apurina,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
515,bagi1246,Bagirmi,TRUE,,TRUE,TRUE,,,,FALSE
516,bamb1269,Bambara,,,,FALSE,,,,FALSE
518,brah1256,Brahui,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
525,ekar1243,Ekari,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
526,epen1239,Epena Pedee,,,,FALSE,FALSE,FALSE,FALSE,FALSE
527,even1259,Evenki,TRUE,,,TRUE,TRUE,,,TRUE
530,hunz1247,Hunzib,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
533,imba1240,Quechua (Imbabura),,,TRUE,TRUE,,,,FALSE
534,iraq1241,Iraqw,,,,,,,,
535,nucl1305,Kannada,,,,FALSE,,,,FALSE
538,east2342,Kayah Li (Eastern),,,,FALSE,FALSE,FALSE,FALSE,FALSE
549,latv1249,Latvian,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
550,lavu1241,Lavukaleve,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
553,luva1239,Luvale,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
561,ngit1239,Ngiti,TRUE,,,TRUE,TRUE,,,TRUE
566,seme1247,Semelai,,,,FALSE,,,,FALSE
568,sout2982,Pomo (Southeastern),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
569,stan1288,Spanish,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
571,cent2194,Tamazight (Ayt Ndhir),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
576,wari1268,Wari,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
583,hebr1245,Hebrew (Modern),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
585,fiji1243,Fijian,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
599,chay1248,Chayahuita,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
608,mari1278,Mari,,,,TRUE,,,,FALSE
609,port1283,Portuguese,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
611,uigh1240,Uighur,,,,TRUE,,,,TRUE
612,cent2128,Yup’ik (Siberian),,,,,,,,
613,stan1306,Malay,,,,FALSE,,,,FALSE
635,sant1410,Santali,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
642,egyp1253,Arabic (Egyptian),TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
643,sout2778,Kisi,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
646,xokl1240,Xokleng,,,,,FALSE,FALSE,FALSE,FALSE
648,boro1282,Bororo,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
650,dogo1299,Dogon,,,,FALSE,,,,FALSE
651,anii1246,//Ani,,,,FALSE,,,,FALSE
654,nisg1240,Nisgha,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
660,band1339,Bandjalang,,,,TRUE,,,,FALSE
668,yecu1235,Totonac (Misantla),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
670,turk1303,Khalaj,TRUE,TRUE,,TRUE,,TRUE,,TRUE
