LID,Glottocode,Language,MarkerPositionForADefault,MarkerPositionForUDefault,MarkerPositionForSDefault,MarkerPositionForBDefault,MarkerPositionForPOSSDefault,MarkerPositionForARGNom,MarkerPositionForOAdp,MarkerPositionForAFF,MarkerPositionForTDefault,MarkerPositionForIDefault,MarkerPositionForGDefault,MarkerPositionForCore,MarkerPositionForPat,MarkerPositionForUBDefault
3173,sida1246,Sidaama,post,post,,,,,,,,,,,,
2936,phal1254,Palula,post,,,,,,,,,,,,,
701,sout2674,Saami (South),post,,,,,,,,,,,,,
703,pite1240,Saami (Pite),post,,,,,,,,,,,,,
628,byan1241,Byangsi,post,,,,,,,,,,,,,
838,amdo1237,Amdo,post,,,,,,,,,,,,,
1775,kulu1253,Kulung,post,post,,,,,,,,,,,,
1778,khal1275,Khaling,post,post,,,,,,,,,,,,
3272,zaiw1241,Zaiwa,post,,,,,,,,,,,,,
786,rong1264,Rongpo,post,,,,,,,,,,,,,
1914,lush1249,Mizo (Lushai),post,post,,,,,,,,,,,,
667,thul1246,Thulung (Mukli),post,post,,,,,,,,,,,,
3331,guan1266,Khroskyabs,prae,prae,,,,,,,,,,,,
2862,chhi1245,Chintang,prae/post,prae/post,,,,,,,,,,,,
