LID,Glottocode,Language,AccDegreeForAgreement,AccDegreeForCase,AccDegreeForMarkerAgreement,ErgDegreeForAgreement,ErgDegreeForCase,ErgDegreeForMarkerAgreement,AccDegreeBinnedForAgreement,AccDegreeBinnedForCase,AccDegreeBinnedForMarkerAgreement,ErgDegreeBinnedForAgreement,ErgDegreeBinnedForCase,ErgDegreeBinnedForMarkerAgreement,DominantAlignment2ForAgreement,DominantAlignment2ForCase,DominantAlignment2ForMarkerAgreement,DominantAlignment3ForAgreement,DominantAlignment3ForCase,DominantAlignment3ForMarkerAgreement,DominantAlignmentPTGForAgreement,DominantAlignmentPTGForCase,DominantAlignmentPTGForMarkerAgreement,HasReferenceConditionedSplitsForAgreement,HasReferenceConditionedSplitsForCase,HasReferenceConditionedSplitsForMarkerAgreement,HasCategoryConditionedSplitsForAgreement,HasCategoryConditionedSplitsForCase,HasCategoryConditionedSplitsForMarkerAgreement,HasClauseRankConditionedSplitsForAgreement,HasClauseRankConditionedSplitsForCase,HasClauseRankConditionedSplitsForMarkerAgreement,HasPolarityConditionedSplitsForAgreement,HasPolarityConditionedSplitsForCase,HasPolarityConditionedSplitsForMarkerAgreement
223,sout2729,Pumi,,0,,,0.25,,,low,,,low,,,S=Atr=P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
225,lahu1253,Lahu,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr=T≠P=G,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
228,pare1266,Gorum,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr=G≠P=T,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
299,nand1266,Nandi,0,1,0.75,0,0,0,low,high,high,low,low,low,S=Atr=P,S=Atr≠P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
317,nuuc1236,Nuuchahnulth,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
318,nung1290,Nunggubuyu,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=P=T≠G,,P=G≠T,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
319,nyig1240,Nyigina,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T=G≠Atr=Aditr,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
322,oksa1245,Oksapmin,0,0.6666666666666666,0.875,0,0,0,low,medium,high,low,low,low,S=Atr=P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,P=G≠T,P=T=G,P=T=G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
323,tega1236,Orig,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
324,east2652,Oromo,1,0.5714285714285714,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
325,osse1243,Ossetic,1,0.375,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr=P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
328,toho1245,O’odham,0,0,1,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
331,pawn1254,Pawnee,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
332,pipi1250,Pipil,0,0,0.7222222222222222,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
333,pira1253,Pirahã,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
337,kich1262,Quiche,0,0,0,0,0,0.9166666666666666,low,low,low,low,low,high,S=Atr=P,S=Atr=P,S=P≠Atr,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
339,resi1247,Resígaro,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
340,russ1263,Russian,1,0.5714285714285714,0.875,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
343,sahu1245,Sahu,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
344,sali1253,Salinan,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
345,salt1242,Salt-Yui,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T=G,,P=T=G,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
347,sand1273,Sandawe,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
348,sanu1240,Sanuma,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
349,sene1264,Seneca,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
351,shas1239,Shasta,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
352,shua1257,Shuar,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
354,nort2942,Slave,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
355,soma1255,Somali,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
356,sout2985,Miwok (Southern Sierra),,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=G≠T,,,P=G≠T,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
357,squa1248,Squamish,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
358,suen1241,Suena,1,0,,0,1,,high,low,,low,high,,S=Atr≠P,S=P≠Atr,,S=Atr=Aditr≠P=T=G,S=P=T≠Atr=Aditr≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
359,sulk1246,Sulka,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
361,swah1253,Swahili,0,0,0.875,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,,,P=G≠T,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
363,take1257,Takelma,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
364,kula1280,Tanglapui,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
365,pure1242,Tarascan,,0.5,,,0,,,medium,,,low,,,mixed,,,mixed,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
367,tauy1241,Tauya,1,0,,0,1,,high,low,,low,high,,S=Atr≠P,S=P≠Atr,,S=Atr=Aditr≠P=T=G,S=P=T=G≠Atr=Aditr,,P=T=G,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
369,tehi1237,Tehit,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
372,hueh1236,Tepehua (Huehuetla),,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
373,tera1251,Tera,1,0.5714285714285714,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,S=Atr=Aditr≠P=T=G,P=T=G,P=T≠G,P=T=G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
374,thai1261,Thai,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
377,timu1245,Timucua,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
378,tiwi1244,Tiwi,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
379,tlin1245,Tlingit,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
383,trum1247,Trumaí,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
384,tuka1249,Tukang Besi,0,0.5,1,0,0.5,0,low,medium,high,low,medium,low,S=Atr=P,mixed,S=Atr≠P,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
385,shos1248,Tümpisa Shoshone,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
386,tuni1252,Tunica,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
387,tuvi1240,Tuva,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
388,tzut1248,Tzutujil,0,0,0,0,0,0.9166666666666666,low,low,low,low,low,high,S=Atr=P,S=Atr=P,S=P≠Atr,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
390,ngar1284,Ungarinjin,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
393,usan1239,Usan,0,0,0.8125,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,,,P=G≠T,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
398,wapp1239,Wappo,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
399,wara1303,Warao,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
401,ward1246,Wardaman,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
402,ware1253,Warembori,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
403,wari1266,Waris,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr=T≠P=G,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
404,warl1254,Warlpiri,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
407,wask1241,Waskia,0,0.5714285714285714,0.75,0,0,0,low,medium,high,low,low,low,S=Atr=P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr=P=T≠G,S=Atr=Aditr=P=T=G,,P=T≠G,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
408,west2443,Wemba Wemba,1,0.5,,0,0.5,,high,medium,,low,medium,,S=Atr≠P,mixed,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
409,wint1259,Wintu,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
414,yagu1244,Yagua,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
416,yank1247,Yankunytjara,,0.5,,,0.5,,,medium,,,medium,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
417,nucl1454,Yawa,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
419,yess1239,Yessan-Mayo,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr=T≠P=G,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
421,yoru1245,Yoruba,,0.5,,,0,,,medium,,,low,,,mixed,,,mixed,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
422,yuch1247,Yuchi,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
424,gang1267,Yukulta,0,0,,0,0.5,,low,low,,low,medium,,S=Atr=P,mixed,,,mixed,,,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
426,yura1255,Yurakare,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
429,zuni1245,Zuni,0,0.6666666666666666,0,0,0,1,low,medium,low,low,low,high,S=Atr=P,S=Atr≠P,S=P≠Atr,S=Atr=Aditr=P=T=G,S=Atr=Aditr≠P=T=G,S=P=T=G≠Atr=Aditr,P=T=G,P=T=G,P=T=G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
432,coos1249,Hanis (Coos),0,0,,0,0.3333333333333333,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
433,gily1242,Nivkh,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
434,west2414,Gurung,,0.6666666666666666,,,1,,,medium,,,high,,,S≠Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
437,nort2921,Ku Waru,1,0,,0,1,,high,low,,low,high,,S=Atr≠P,S=P≠Atr,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
438,maib1239,Maybrat,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
443,koyr1240,Songhai (Koyra Chiini),,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
444,west2515,Futuna (West),,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
454,rama1270,Rama,,0.5,,,0,,,medium,,,low,,,mixed,,,mixed,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
456,west2369,Persian,1,0.6666666666666666,0.9166666666666666,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
460,popt1235,Jacaltec,0,0,0,0,0,0.8333333333333334,low,low,low,low,low,high,S=Atr=P,S=Atr=P,S=P≠Atr,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
463,nucl1310,Burmese,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
464,mode1248,Greek (modern),1,0.5,,0,0,,high,medium,,low,low,,S=Atr≠P,mixed,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
465,mari1440,Maricopa,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
466,sang1328,Sango,1,0,1,0,0,0,high,low,high,low,low,low,S=Atr≠P,S=Atr=P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
468,east2773,Newar (Dolakha),1,0.6666666666666666,,0,1,,high,medium,,low,high,,S=Atr≠P,S≠Atr≠P,,S=Atr=Aditr≠P=T=G,S≠Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
469,awac1239,Awa Pit,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr=T≠P=G,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
471,colo1256,Tsafiki,,0.5,,,0,,,medium,,,low,,,mixed,,,mixed,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
475,trio1238,Trió,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
480,aman1265,Amanab,1,0,1,0,0,0,high,low,high,low,low,low,S=Atr≠P,S=Atr=P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
486,moun1252,Koiali (Mountain),,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
488,veng1238,Babungo,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
492,copa1236,Zoque (Copainalá),,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
493,bara1380,Barasano,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
494,viet1252,Vietnamese,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
495,kron1241,Krongo,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
497,supy1237,Supyire,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
499,buki1249,Bukiyip,0,0,1,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=T=G,S=Atr=Aditr=P=T=G,,P=T=G,P=T=G,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
500,hmon1264,Hmong Njua,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
502,nucl1301,Turkish,1,0.6666666666666666,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,S=Atr=Aditr≠P=T=G,P=T=G,P=T≠G,P=T=G,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
504,greb1256,Grebo,,0.5,,,0,,,medium,,,low,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
505,daga1275,Daga,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
506,maxa1247,Maxakalí,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
514,cent2142,Aymara,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
515,bagi1246,Bagirmi,,0.5,,,0,,,medium,,,low,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
516,bamb1269,Bambara,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
518,brah1256,Brahui,1,0.6666666666666666,0.9166666666666666,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
523,coma1245,Comanche,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
526,epen1239,Epena Pedee,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
527,even1259,Evenki,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
530,hunz1247,Hunzib,,0,,,0.42857142857142855,,,low,,,medium,,,S=Atr=P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
531,nucl1417,Igbo,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
533,imba1240,Quechua (Imbabura),,1,0.5416666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE
534,iraq1241,Iraqw,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
535,nucl1305,Kannada,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
536,hamt1247,Kapau,0,0.2727272727272727,1,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=P=T=G,,P=G≠T,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
540,khas1269,Khasi,1,1,1,0,0,0,high,high,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
546,koro1298,Koromfe,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
549,latv1249,Latvian,1,0.7,0.75,0,0,0,high,high,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
550,lavu1241,Lavukaleve,0,0,1,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
555,maka1318,Makah,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
558,mund1320,Mundari,0,0.5,1,0,0,0,low,medium,high,low,low,low,S=Atr=P,mixed,S=Atr≠P,S=Atr=Aditr=P=T=G,mixed,,P=T=G,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
