"LID","AlignmentAgrAccDegree.binned3","AlignmentAgrAccDegree","AlignmentAgrDominantPTG","AlignmentAgrDominantSAP","AlignmentAgrDominantSAPTG","AlignmentAgrErgDegree.binned3","AlignmentAgrErgDegree","AlignmentCaseAccDegree.binned3","AlignmentCaseAccDegree","AlignmentCaseDominantPTG","AlignmentCaseDominantSAP","AlignmentCaseDominantSAPTG","AlignmentCaseErgDegree.binned3","AlignmentCaseErgDegree","AlignmentCaseDominantLexSAP","AlignmentCaseDominantProSAP","CaseSplitByPolarity.Presence","AgrSplitByRef.Presence","CaseSplitByRef.Presence","AgrSplitByValClass.Presence","CaseSplitByValClass.Presence","AgrSplitByRank.Presence","CaseSplitByRank.Presence","AgrSplitByCat.Presence","CaseSplitByCat.Presence","AlignmentAgrMarkerAccDegree","AlignmentAgrMarkerDominantSAP","AlignmentAgrMarkerErgDegree.binned3","AlignmentAgrMarkerErgDegree"
3075,"low",0,"P=G≠T","S=Atr=P","S=Atr=Aditr=P=G≠T","low",0,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"S=Atr≠P","low",0
3081,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3085,,,,,,,,"high",1,,"S=Atr≠P",,"low",0,"accusative","accusative",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3092,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,"S=Atr≠P","low",0
3093,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,"S=Atr≠P","low",0
3095,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"low",0.166666666666667,"P=T≠G","S=Atr=P","S=Atr=Aditr=P=T≠G","low",0,,"accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,"S=Atr≠P","low",0
3096,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,"S=Atr≠P","low",0
3099,"high",1,,"S=Atr≠P",,"low",0,,,,,,,,,,,,,,,,,,,,,,
3117,"medium",0.5,,"mixed",,"high",1,,,,,,,,,,,,,,,,,,,0.928571428571429,"S=Atr≠P","low",0
3206,,,,,,,,"low",0,"P=T≠G","S=P≠Atr","S=P=T≠Atr=Aditr≠G","high",1,"ergative","ergative",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,
3213,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,,,,,,,,,,,,,,,,,,,,,,
3249,"low",0,,"S=Atr=P",,"low",0,,,,,,,,,,,,,,,,,,,0.73469387755102,"S≠Atr=P","high",0.785714285714286
3250,,,,,,,,,,,,,,,,,,,,,,,,,,1,"S≠Atr=P","high",0.63265306122449
3261,"low",0,,"S=Atr=P",,"low",0,,,,,,,,,,,,,,,,,,,,,,
3269,"low",0,,"S=Atr=P",,"low",0,,,,,,,,,,,,,,,,,,,1,"S=Atr≠P","high",0.63265306122449
