"LID","WordOrderAPLex","WordOrderAPBasicLex","WordOrderAVBasicLex","PositionVBasicLex","WordOrderAPVBasicLex","PositionVBasicLex.binned.v4","PositionVBasicLex.binned.v1","PositionVBasicLex.binned.v3","PositionVBasicLex.binned.v2","WordOrderPVBasicLex","WordOrderAPSecondaryLex","WordOrderAVSecondaryLex","PositionVSecondaryLex","WordOrderAPVSecondaryLex","PositionVSecondaryLex.binned.v4","PositionVSecondaryLex.binned.v1","PositionVSecondaryLex.binned.v3","PositionVSecondaryLex.binned.v2","WordOrderPVSecondaryLex","VFinalLex","VFinalOrFreeLex","WordOrderAPVLexFlexible","VInitialLex","VMedialLex","WordOrderSVBasicLex","WordOrderSVSecondaryLex"
651,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
2878,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
344,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
128,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
401,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
1527,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
22,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
1827,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
359,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
512,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
29,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
515,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
68,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
181,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
577,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
2882,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
343,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
1116,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
421,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
98,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
179,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
2322,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other",,
2934,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
2851,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
1682,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
378,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
1042,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
101,"OA","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head",,,,,,,,,,"non_final","other","rigid","other","medial",,
565,"OA","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head",,,,,,,,,,"non_final","other","rigid","other","medial",,
357,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
460,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
55,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
495,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
435,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
362,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
