"LID","CaseAPSplitByRef"
129,"O unsplit"
1293,"O split"
130,"O unsplit"
1302,"O unsplit"
1323,"O unsplit"
1333,"O unsplit"
1335,"O split"
134,"O unsplit"
1343,"O split"
1348,"O unsplit"
135,"O unsplit"
136,"O split"
1364,"O unsplit"
138,"O unsplit"
1388,"O unsplit"
139,"O split"
14,"O unsplit"
140,"O unsplit"
141,"O unsplit"
1413,"O unsplit"
1414,"O unsplit"
1416,"O split"
142,"O split"
1439,"O unsplit"
144,"O unsplit"
1468,"O unsplit"
147,"O unsplit"
1473,"O split"
148,"O unsplit"
1487,"O split"
149,"O unsplit"
1492,"O split"
15,"O unsplit"
150,"O split"
1505,"O unsplit"
1508,"O split"
1511,"O split"
1517,"O unsplit"
1518,"O unsplit"
1523,"O split"
1528,"O unsplit"
1528,"O split"
1531,"O unsplit"
1533,"O split"
1536,"O unsplit"
1538,"O unsplit"
154,"O unsplit"
1542,"O unsplit"
155,"O unsplit"
1556,"O split"
156,"O unsplit"
157,"O unsplit"
1573,"O unsplit"
1577,"O split"
1578,"O unsplit"
159,"O split"
1592,"O split"
1597,"O unsplit"
1600,"O unsplit"
162,"O unsplit"
1621,"O unsplit"
1623,"O unsplit"
1628,"O unsplit"
1644,"O unsplit"
1645,"O split"
165,"O split"
1650,"O unsplit"
166,"O unsplit"
1660,"O unsplit"
167,"O unsplit"
1671,"O unsplit"
1682,"O unsplit"
169,"O split"
169,"O unsplit"
1691,"O split"
1692,"O split"
17,"O split"
170,"O unsplit"
1702,"O unsplit"
1703,"O unsplit"
1709,"O unsplit"
171,"O unsplit"
172,"O unsplit"
173,"O split"
1739,"O split"
1743,"O unsplit"
1744,"O split"
175,"O unsplit"
1750,"O split"
1751,"O unsplit"
176,"O unsplit"
1763,"O split"
1772,"O split"
1775,"O unsplit"
1778,"O unsplit"
1784,"O unsplit"
179,"O unsplit"
1791,"O unsplit"
1806,"O unsplit"
181,"O unsplit"
1810,"O unsplit"
1816,"O unsplit"
1826,"O unsplit"
1827,"O unsplit"
1833,"O unsplit"
1835,"O unsplit"
188,"O split"
1887,"O unsplit"
1896,"O unsplit"
1902,"O unsplit"
191,"O unsplit"
1914,"O unsplit"
193,"O split"
1940,"O unsplit"
1944,"O split"
1947,"O unsplit"
1949,"O unsplit"
1952,"O unsplit"
1954,"O split"
1961,"O unsplit"
1964,"O split"
197,"O unsplit"
198,"O unsplit"
1989,"O unsplit"
199,"O unsplit"
1991,"O unsplit"
1999,"O unsplit"
20,"O unsplit"
2007,"O unsplit"
201,"O unsplit"
2015,"O unsplit"
2016,"O split"
2023,"O split"
2028,"O split"
2029,"O unsplit"
2031,"O unsplit"
2035,"O unsplit"
2047,"O unsplit"
2054,"O unsplit"
2060,"O unsplit"
2063,"O unsplit"
2072,"O unsplit"
2081,"O split"
2081,"O split"
209,"O unsplit"
2093,"O split"
2096,"O unsplit"
2098,"O split"
21,"O split"
210,"O split"
2102,"O split"
211,"O unsplit"
