"LID","VInflClassification.Pre.Presence","VInflEvidential.Pre.Presence","VInflInter_clausal.Pre.Presence","VInflNP_related.Pre.Presence","VInflNumber.Pre.Presence","VInflOperators.Pre.Presence","VInflPerson.Pre.Presence","VInflPragmatic.Pre.Presence","VInflRole.Pre.Presence","VInflTAM.Pre.Presence","VInflValence.Pre.Presence"
2388,,,,,,FALSE,,,,FALSE,
2393,,,,,,,,,,TRUE,FALSE
2393,,,,,,,,,,FALSE,
2412,,FALSE,,,,FALSE,,FALSE,,FALSE,FALSE
2412,,,FALSE,,,,,,,,
2447,,,,,,FALSE,,,,FALSE,
2456,,,FALSE,,,,,FALSE,,FALSE,FALSE
2471,,,,,,,,,,FALSE,
2508,,,,,,FALSE,,,,FALSE,
2513,,,FALSE,,,TRUE,,,,FALSE,FALSE
2514,,FALSE,FALSE,,,FALSE,,,,FALSE,FALSE
2564,,,,,FALSE,,,,FALSE,FALSE,FALSE
2572,,FALSE,,,FALSE,,,,,FALSE,FALSE
2577,,,,,,FALSE,,,,FALSE,FALSE
2617,,,,,,FALSE,,,,FALSE,
2657,,,,,,,,,,FALSE,FALSE
2662,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
2672,,,,,,,,,,FALSE,
2716,,,,,,FALSE,,,,FALSE,
2824,,,,,,FALSE,,FALSE,,FALSE,
2826,,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE
2828,,,,,,FALSE,,,,FALSE,
2831,,,,,,,,,,FALSE,
2832,,,,,,,,,,FALSE,FALSE
2833,,,,,,,,,,FALSE,
2854,,,,,,,,,,FALSE,
2855,,,,,,,,,,FALSE,
2856,,,,,,FALSE,,,,FALSE,FALSE
2862,,,,,,FALSE,,,,FALSE,FALSE
2871,,,,,,FALSE,,FALSE,,,
2873,,,,,,TRUE,,,,FALSE,
2893,,,,,,,,,,FALSE,
2900,,,,,,,,,,FALSE,FALSE
2916,,,,,,FALSE,,,,FALSE,FALSE
2936,,,,,,,,,,FALSE,
2944,,,,,,FALSE,,,,FALSE,
2949,,FALSE,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
2951,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
2984,,,,,,FALSE,,,,FALSE,
2987,,,,,,FALSE,,,,FALSE,
3006,,,,,,,,FALSE,,FALSE,FALSE
3015,,,,,FALSE,FALSE,,,,FALSE,
3032,,,,,,FALSE,,,,FALSE,
3101,,,,,,FALSE,,,,FALSE,FALSE
3143,,,,,,,,FALSE,,FALSE,FALSE
3173,,,,,,FALSE,,FALSE,,FALSE,FALSE
3213,,,FALSE,,,FALSE,,,,FALSE,
3229,,,,,,FALSE,,,,FALSE,
3239,,,,,FALSE,,,FALSE,,FALSE,FALSE
3240,,FALSE,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
3243,,,,,,FALSE,,,,FALSE,
3272,,,,,,FALSE,,,,FALSE,
3278,,,,,,FALSE,,,FALSE,FALSE,
3298,,,,,,FALSE,,,,FALSE,
3301,,,,,,FALSE,,,,,
3311,,,,,,,,FALSE,,FALSE,
3312,,,,,,FALSE,,,,FALSE,
3313,,,,,,FALSE,,FALSE,,FALSE,
3315,,,,,,TRUE,,,,FALSE,FALSE
3318,,FALSE,,,,FALSE,,,,FALSE,
3326,,,,,,,,FALSE,,FALSE,
3331,,,,,,FALSE,,FALSE,,FALSE,
