"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
458,FALSE,,,,,,,,FALSE,,,,,FALSE,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
461,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,
464,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
469,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
481,,,FALSE,,,,,,FALSE,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,FALSE
491,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
495,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,
498,,,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,FALSE,,FALSE,,,FALSE,,,,FALSE,,,,,,,,,FALSE,,,
499,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
511,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
514,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,
515,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
526,,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
527,,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,
528,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,FALSE,,,,
530,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,
533,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
540,,,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
545,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,FALSE,,,,,,FALSE,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
551,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,
