"LID","AUTOTYPLabel","Behavior.binned4","Behavior.spreading.Presence","Behavior","Coexponence.CaseNumber.Presence","Coexponence.CaseReference.Presence","Domain","Exemplar","Polyexponence.Presence","Exponence.n","Exponence","Flexivity.Presence","FlexivityFormative","Form","Fusion.binned6","Fusion","Fusion.isolating.Presence","Fusion.nonlinear.Presence","Fusion.reduplicative.Presence","Fusion.tonal.Presence","FlexivityLexical.Presence","Locus.binned6","Locus","Locus.binned5","HostRestrictions.binned.restricted","MorphemeType","MorphemeType.Word.Presence","PersonPortmanteau.Presence","Placement","Position.post.Presence","Position.binned4","Position","Position.binned5","Position.pre.Presence.v1","Position.pre.Presence.v2","Position.simul.Presence.v1","Position.simul.Presence.v2","HostRestrictions","Slot","SourceOfMarking","FlexivityStem","OppositionWithZero.Presence","HostMacroCat","HostType","HostCat"
409,"NEG",,FALSE,"inert",,,"verbal","NEG",FALSE,1,"Polarity",,,,"concatenative","isolating_then_concatenative",FALSE,"linear","non-reduplicative",FALSE,,"n/a","<n.a.>","n/a","restricted",,,,,FALSE,"in/simul","circum","simul",TRUE,TRUE,TRUE,TRUE,"restricted",,"free",,,"verbal","terminal","V"
77,"GEN",,,,,,"#ANY#",,FALSE,1,"Role",,,"ni","isolating","isolating",TRUE,"linear","non-reduplicative",FALSE,,"n/a","<?>","n/a",,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
419,"<none>",,,,,,"#ANY#","Noun Plural",,0,,,,,,,,,,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
200,"<none>",,,,,,"#ANY#","CASE",,0,"n/a",,,,,"n/a",,"NA",,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
499,"<none>",,,,,,"#ANY#","CASE",,0,"n/a",,,"zero",,"n/a",,"NA",,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
27,"S/A-AGR",,,,,,"verbal",,TRUE,3,"Number;Person;Role",,,"-tse ‘1pS/A’","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"H","H","H","restricted","formative",FALSE,FALSE,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted","1",,,TRUE,"verbal","terminal","V"
433,"Initial lenition?  Initial sandhi?",,,,,,"#ANY#",,FALSE,1,"Role",,,,"stem","lenition",FALSE,"nonlinear","non-reduplicative",FALSE,,"H","H","H","(partially) unrestricted","formative",FALSE,,,FALSE,"split","in/prae","split",TRUE,FALSE,FALSE,FALSE,"semi-restricted",,,,,"any","terminal","N,V"
212,,,,,,,"#ANY#",,,0,,,,,,,,,,,,"H","H","H",,,,,,,,,,,,,,,,,,,,,"#ANY#"
35,"INF",,,,,,"#ANY#",,,0,,,,"-ma","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,"following",TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
128,"PAST",,,,,,"#ANY#","TAM",TRUE,2,"Polarity;TAM",,,"-THa (affirm.), -THarri (neg.)","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
1163,"ACC",,,,,,"nominal",,FALSE,1,"Role",,,"bound forms of pronouns","stem","suppletive",FALSE,"nonlinear","non-reduplicative",FALSE,,"D","D","D","restricted","formative",FALSE,,,,,,,,,,,"restricted",,"assign",,,"nominal","terminal","Pro"
497,"<none>",,,,FALSE,FALSE,"#ANY#","CASE",FALSE,1,"Role",,,"zero",,"n/a",,"NA",,,,"D","D","D","restricted","n/a",,,,,,,,,,,,"restricted",,"assign",,,,,"n/a"
44,"<none>",,,,,,"#ANY#","Noun Plural",,0,,,,,,,,,,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
129,"PLURAL",,,,,,"nominal","Noun Plural",FALSE,1,"Number",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,"restricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,,,,"nominal","terminal","N"
640,"ABS",,,,,,"#ANY#",,FALSE,1,"Role",,,"zero",,"n/a",,"NA",,,,"D","D","D","restricted","n/a",,,,,,,,,,,,"restricted",,"assign",,,,,"n/a"
6,"NEG",,FALSE,"inert",,,"#ANY#","NEG",,0,,,,"kaapuk (more common) ~ kapulek","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"n/a","<n.a.>","n/a","(partially) unrestricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"unrestricted",,"free",,,"any","terminal","<any>"
367,,,,,,,"#ANY#",,,0,,,,"-pa, -te/-fe/-tefe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#ANY#"
121,,,,,,,"nominal",,,0,,,,,,,,,,,,"H","H","H","restricted",,,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,,,,"nominal","terminal","N"
14,,,,,,,"#ANY#",,,0,,,,,,,,,,,,"D","D","D",,,,,,,,,,,,,,,,,,,,,"#ANY#"
395,"<none>",,,,,,"#ANY#","CASE",,0,"n/a",,,,,,,,,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
2412,"O-AGR",,,,,,"#ANY#",,TRUE,3,"Number;Person;Role",,,"1s: ʔim-; 2s: ma-; 3s/o: no prefix; 1p: ʔiši-; 2p: maši-","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"H","H","H",,"formative",FALSE,,,FALSE,"prae","prae","prae",TRUE,TRUE,FALSE,FALSE,,,"agree",,,,,"#ANY#"
2972,"NOM",,,,,,"#ANY#",,FALSE,1,"Role",TRUE,"lex-based",,,"concatenative_or_suppletive",,,,,TRUE,"D","D","D",,"formative",FALSE,,,,,,,,,,,,,"assign",,,,,"#ANY#"
572,"<none>",,,,FALSE,FALSE,"#ANY#","CASE",FALSE,1,"Role",,,"zero",,"n/a",,"NA",,,,"D","D","D","restricted","n/a",,,,,,,,,,,,"restricted",,"assign",,,,,"n/a"
111,"GEN",,,,,,"nominal",,,0,,,,,,,,,,,,"D","D","D","restricted",,,,,,,,,,,,,"restricted",,,,,"nominal","terminal","Pro"
549,"S/A-AGR",,,,,,"verbal",,,0,,,,"-a 3","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"H","H","H","restricted","formative",FALSE,FALSE,"following",TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted","1","agree",,TRUE,"verbal","terminal","V"
179,"PAST",,,,,,"#ANY#","TAM",FALSE,1,"TAM",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"n/a","<n.a.>","n/a",,"formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
150,"OBV",,,,FALSE,FALSE,"#ANY#","CASE",TRUE,2,"Referential;Role",,,"-s","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"D","D","D",,"formative",FALSE,,,,,,,,,,,,,"assign",,,,,"#ANY#"
