"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
2368,"Gender,Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",805,,,,,"Head-Dependent"
712,"Gender,Number,Referential",FALSE,"neutral","neutral",,"Adj,Ord,PTCP",1,"","mixed","OK",TRUE,"ACAgr+HDAgr",684,"pragmatic","specific",FALSE,,"Dependent-Head"
569,"Gender,Number",FALSE,"neutral",,,"N",0,"1590","mixed","OK",TRUE,"Dep-driven agr. + Governed",752,"neutral","neutral",,,"Head-Dependent"
710,"Gender,Number,Referential",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",687,"neutral","neutral",FALSE,,"Dependent-Head"
59,"Gender,Referential",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",838,,,,,"Dependent-Head"
25,,FALSE,"neutral","neutral",,"N_or_Pro",1,"",,,,,28,,,FALSE,,
18,"Number,Person",,,,"agreement","Adj",0,"1063,1402","agreement/class marker",,TRUE,"Modifier-headed possessor agreement",588,,,,,"Dependent-Head"
176,"Number",,,"non-human","agreement","Adj,Art",1,"1601","agreement/class marker","OK",TRUE,"Head-driven agreement",788,,,TRUE,,"Dependent-Head"
20,"Number,Person",TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"148","agreement/class marker",,TRUE,"Dep-driven agreement",15,,,TRUE,,"Dependent-Head"
550,"Gender,Number",FALSE,"neutral",,"agreement","Adj,Art,DEM",0,"637","agreement/class marker",,TRUE,"Head-driven agreement",574,,,,,"Head-Dependent"
339,,TRUE,"inalienable","body parts,kin terms,meronyms",,,3,"","agreement/class marker",,TRUE,"Dep-driven agreement",1053,,,TRUE,"nouns that undergo morphophonemic changes when possessed",
682,"Number,Person",TRUE,"inalienable","inalienable",,,1,"1398","agreement/class marker",,TRUE,"Dep-driven agreement",581,,,TRUE,,"Head-Dependent"
1,"Number,Person",TRUE,"inalienable","body parts",,"N",1,"","agreement/class marker",,TRUE,"Dep-driven agreement",590,,,TRUE,,
78,"Number,Person",FALSE,"neutral",,,"N_or_Pro",0,"1385,1396","mixed","OK",TRUE,"Dep-driven agr. + Governed",570,,,,,"Dependent-Head"
148,,TRUE,"inalienable","default",,"N",1,"301",,,,,157,,,TRUE,,"Dependent-Head"
2453,"Number",,,,,"N",0,"","agreement/class marker",,TRUE,"Dep-driven agreement",873,,,,,"Dependent-Head"
77,,TRUE,"inalienable","body parts,kin terms,meronyms",,"N_or_Pro",3,"519","agreement/class marker",,TRUE,"Pronominal agreement",360,"referentiality","human",TRUE,"‘color’
not ‘blood’, ‘namesake’
not all meronyms (127)","Head-Dependent"
98,,FALSE,"neutral","neutral",,"N",1,"290",,,,"Head-driven agr. + Construct state",94,"neutral","neutral",FALSE,,"Head-Dependent"
669,,TRUE,"inalienable","body parts,kin terms,meronyms","construct",,3,"1381","construct markers",,TRUE,"Construct state",559,,,TRUE,,"Dependent-Head"
