"LID","LocusA.binned6","Locus.A.default.binned6","Locus.A.default.if.N.binned6","Locus.A.default.if.N_or_Pro.binned6","Locus.A.default.elsewhere.binned6","Locus.A.default.if.Pro.binned6","Locus.A.default.if.SAP.binned6","Locus.A.exp.binned6","Locus.A.poss.binned6","Locus.Act.binned6","Locus.ATTR.default.binned6","Locus.ATTR.default.elsewhere.binned6","Locus.B.ben.binned6","Locus.B.default.binned6","Locus.B.default.elsewhere.binned6","Locus.B.default.if.Pro.binned6","Locus.B.rec.binned6","Locus.G.default.binned6","Locus.I.default.binned6","LocusP.binned6","Locus.Pat.binned6","LocusPOSS.binned6","Locus.POSS.default.binned6","Locus.POSS.default.if.1PERS.binned6","Locus.POSS.default.if.N.binned6","Locus.POSS.default.if.N.alien.binned6","Locus.POSS.default.if.N.inal.binned6","Locus.POSS.default.if.N.kin.binned6","Locus.POSS.default.if.N_or_Pro.binned6","Locus.POSS.default.elsewhere.binned6","Locus.POSS.default.if.Pro.binned6","LocusS.binned6","Locus.S.default.binned6","Locus.S.default.if.N_or_Pro.binned6","Locus.S.default.elsewhere.binned6","Locus.S.default.if.Pro.binned6","Locus.S.default.if.SAP.binned6","Locus.T.def.binned6","Locus.T.default.binned6","Locus.T.default.elsewhere.binned6","Locus.T.emp.binned6","Locus.U.def.binned6","Locus.U.default.binned6","Locus.U.default.if.1PERS.binned6","Locus.U.default.if.N.binned6","Locus.U.default.elsewhere.binned6","Locus.U.default.if.Pro.binned6","Locus.U.default.if.SAP.binned6","Locus.U.emp.binned6","Locus.U.ref.binned6","Locus.U.stim.binned6","LocusAandP.dm.Presence","LocusAandP.hm.Presence","LocusA.dm.Presence","LocusA.hm.Presence","LocusAorP.dm.Presence","LocusAorP.hm.Presence","LocusARG.dm.Presence","LocusP.dm.Presence","LocusP.hm.Presence","LocusPOSS.dm.Presence","LocusPOSS.hm.Presence","LocusSandA.dm.Presence","LocusSandA.hm.Presence","LocusS.dm.Presence","LocusS.hm.Presence","LocusA","Locus.A.default","Locus.A.default.if.N","Locus.A.default.if.N_or_Pro","Locus.A.default.elsewhere","Locus.A.default.if.Pro","Locus.A.default.if.SAP","Locus.A.exp","Locus.A.poss","Locus.Act","LocusARG.hm.Presence","Locus.ATTR.default","Locus.ATTR.default.elsewhere","Locus.B.ben","Locus.B.default","Locus.B.default.elsewhere","Locus.B.default.if.Pro","Locus.B.rec","Locus.G.default","Locus.I.default","LocusP","Locus.Pat","LocusPOSS","Locus.POSS.default","Locus.POSS.default.if.1PERS","Locus.POSS.default.if.N.alien","Locus.POSS.default.if.N.inal","Locus.POSS.default.if.N.kin","Locus.POSS.default.if.N","Locus.POSS.default.if.N_or_Pro","Locus.POSS.default.elsewhere","Locus.POSS.default.if.Pro","LocusS","Locus.S.default","Locus.S.default.if.N_or_Pro","Locus.S.default.elsewhere","Locus.S.default.if.Pro","Locus.S.default.if.SAP","Locus.T.def","Locus.T.default","Locus.T.default.elsewhere","Locus.T.emp","Locus.U.def","Locus.U.default","Locus.U.default.if.1PERS","Locus.U.default.if.N","Locus.U.default.elsewhere","Locus.U.default.if.Pro","Locus.U.default.if.SAP","Locus.U.emp","Locus.U.ref","Locus.U.stim","LocusA.binned5","Locus.A.default.binned5","Locus.A.default.if.N.binned5","Locus.A.default.if.N_or_Pro.binned5","Locus.A.default.elsewhere.binned5","Locus.A.default.if.Pro.binned5","Locus.A.default.if.SAP.binned5","Locus.A.exp.binned5","Locus.A.poss.binned5","Locus.Act.binned5","Locus.ATTR.default.binned5","Locus.ATTR.default.elsewhere.binned5","Locus.B.ben.binned5","Locus.B.default.binned5","Locus.B.default.elsewhere.binned5","Locus.B.default.if.Pro.binned5","Locus.B.rec.binned5","Locus.G.default.binned5","Locus.I.default.binned5","LocusP.binned5","Locus.Pat.binned5","LocusPOSS.binned5","Locus.POSS.default.binned5","Locus.POSS.default.if.1PERS.binned5","Locus.POSS.default.if.N.binned5","Locus.POSS.default.if.N.alien.binned5","Locus.POSS.default.if.N.inal.binned5","Locus.POSS.default.if.N.kin.binned5","Locus.POSS.default.if.N_or_Pro.binned5","Locus.POSS.default.elsewhere.binned5","Locus.POSS.default.if.Pro.binned5","LocusS.binned5","Locus.S.default.binned5","Locus.S.default.if.N_or_Pro.binned5","Locus.S.default.elsewhere.binned5","Locus.S.default.if.Pro.binned5","Locus.S.default.if.SAP.binned5","Locus.T.def.binned5","Locus.T.default.binned5","Locus.T.default.elsewhere.binned5","Locus.T.emp.binned5","Locus.U.def.binned5","Locus.U.default.binned5","Locus.U.default.if.1PERS.binned5","Locus.U.default.if.N.binned5","Locus.U.default.elsewhere.binned5","Locus.U.default.if.Pro.binned5","Locus.U.default.if.SAP.binned5","Locus.U.emp.binned5","Locus.U.ref.binned5","Locus.U.stim.binned5"
177,"Ø","Ø",,,,"H",,,,,"Ø",,,"D",,"H",,,,"Ø",,"D","D",,,,"H",,,,"H","Ø","Ø",,,"H",,,,,,,"Ø",,,,"H",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,"H",,,,,FALSE,"Ø",,,"D",,"H",,,,"Ø",,"D","D",,,"H",,,,,"H","Ø","Ø",,,"H",,,,,,,"Ø",,,,"H",,,,,"Ø","Ø",,,,"H",,,,,"Ø",,,"D",,"H",,,,"Ø",,"D","D",,,,"H",,,,"H","Ø","Ø",,,"H",,,,,,,"Ø",,,,"H",,,,
178,"2","2",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,"Ø","D","2","2",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+d","H+d",,,,,,,,,TRUE,,,,,,,,,,"H",,"H","H",,,,,,,"Ø","D","H+d","H+d",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,"Ø","D","H","H",,,,,,,,,,"H",,,,,,,,
179,"D","D",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,"2",,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,,,,"D",,,,,,"D",,"D","D",,,"H+D",,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,"2",,,,,"D","D",,,,,,,,,,"D",,,,,,,,
180,"H","H",,,"2",,,,,,"F","Ø",,,,"2",,,,"H",,"H","H",,,,,,,,,"H","H",,"2",,,,,,,,"H",,,"2",,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,"H+d",,,,,,TRUE,"F","Ø",,,,"H+d",,,,"H",,"H","H",,,,,,,,,"H","H",,"H+d",,,,,,,,"H",,,"H+d",,,,,,"H","H",,,"H",,,,,,"FloatingorClitic","Ø",,,,"H",,,,"H",,"H","H",,,,,,,,,"H","H",,"H",,,,,,,,"H",,,"H",,,,,
181,"H","H",,,,,,,,,,,,"D",,,,,,"H",,"Ø","Ø",,,,"H",,,,"D","H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,"D",,,,,,"H",,"Ø","Ø",,,"H",,,,,"D","H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,"D",,,,,,"H",,"Ø","Ø",,,,"H",,,,"D","H","H",,,,,,,,,,"H",,,,,,,,
184,"H","H",,,,"2",,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,"2",,,,,,,"Ø",,,,"D",,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,"H+D",,,,,TRUE,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,"H+D",,,,,,,"Ø",,,,"D",,,,,"H","H",,,,"2",,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,"2",,,,,,,"Ø",,,,"D",,,,
186,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,,,,"F","H","H",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,,,,"F","H","H",,,,,,,,,,"Ø",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,,,,"FloatingorClitic","H","H",,,,,,,,,,"Ø",,,,,,,,
188,"D","D",,,,,,,,,"D","Ø",,,,,,,,"D",,"D","D",,,,,,,,"H","D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"D","Ø",,,,,,,,"D",,"D","D",,,,,,,,"H","D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"D","Ø",,,,,,,,"D",,"D","D",,,,,,,,"H","D","D",,,,,,,,,,"D",,,,,,,,
191,"2","2",,,,,,,,,,,,"D",,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,,,,,"H+D",,"D","D",,,,,,,"H",,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,"D",,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,,,,,,
192,"H","H",,,,,,,,,,,,"H",,,,,,"H",,,,,,,,,,,,"H","H",,,,,,"D",,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,"H",,,,,,"H",,,,,,,,,,,,"H","H",,,,,,"D",,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,"H",,,,,,"H",,,,,,,,,,,,"H","H",,,,,,"D",,,,"H",,,,,,,,
193,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,
196,"2","2",,,,,,,,,,,,,,,,,,"2",,"Ø","Ø",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+d","H+d",,,,,,,,,TRUE,,,,,,,,,,"H+d",,"Ø","Ø",,,,,,,,,"H+d","H+d",,,,,,,,,,"H+d",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"Ø","Ø",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
197,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"Ø",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,,,,,"D",,"D","D",,,,,,,"Ø",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"Ø",,"2","2",,,,,,,,,,"D",,,,,,,,
198,"H","H",,,,,,,,,,,,,,,,,,"H",,,,,,,,,,"H",,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"H",,"H/D","H/D",,,,,,,"H",,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"2","2",,,,,,,"H",,"H","H",,,,,,,,,,"H",,,,,,,,
199,"Ø","Ø",,,,,,,,,"Ø",,,"D","D on H",,,,,"D",,"D","D",,,,,,,"D on H",,"Ø","Ø",,,,,,"D","D on H",,,"D",,,"D on H",,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,,,,,,FALSE,"Ø",,,"D","D on H",,,,,"D",,"d","d",,,,,,,"h+d on h",,"Ø","Ø",,,,,,"D","D on H",,,"D",,,"D on H",,,,,,"Ø","Ø",,,,,,,,,"Ø",,,"D","FloatingorClitic",,,,,"D",,"D","D",,,,,,,"FloatingorClitic",,"Ø","Ø",,,,,,"D","FloatingorClitic",,,"D",,,"FloatingorClitic",,,,,
200,"H","H",,,,,,,,,"F",,,"H",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"F",,,"H",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"FloatingorClitic",,,"H",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
201,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"D",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"D",,"H","H",,,,,,,,,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"D",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,
202,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,"D",,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"H",,"H","H",,,,,,,"D",,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,"D",,"H","H",,,,,,,,,,"H",,,,,,,,
205,"2","2",,,,,,,,,"D",,,"D",,,,,,"2",,"D","D",,,,,,,,"H","2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,"D",,,,,,"h+D",,"D","D",,,,,,,,"H","H+D","H+D",,,,,,,,,,"h+D",,,,,,,,,"2","2",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,"H","2","2",,,,,,,,,,"D",,,,,,,,
206,"2","2",,,,,,"D",,,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,"D",,,,"D",,,,,,"D",,"2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,"D",,,TRUE,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"H+D","H+D",,,,,,"D",,,,"D",,,,,,"D",,"H+D","2","2",,,,,,"D",,,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,"D",,,,"D",,,,,,"D",,"2"
207,"2","2",,,,,,,,,,,,,,,,,,"D",,"Ø","Ø",,,,,,,,"D","2","2",,,,,,,,,,"D",,,"2",,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"D",,"Ø","Ø",,,,,,,,"D","H+D","H+D",,,,,,,,,,"D",,,"H+D",,,,,,"2","2",,,,,,,,,,,,,,,,,,"D",,"Ø","Ø",,,,,,,,"D","2","2",,,,,,,,,,"D",,,"2",,,,,
208,"2","2",,,,,,,,,,,,,,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"D","D",,,,,,,"H+",,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,,,,,,
210,"D on H","D on H",,,,,,,,,"D",,,"D",,,,,,"D on H",,"D","D",,,,"Ø",,,,,"D","D",,,,,,,,,,"D on H",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"D on H","D on H",,,,,,,,,FALSE,"D",,,"D",,,,,,"D on H",,"D","D",,,"Ø",,,,,,"D","D",,,,,,,,,,"D on H",,,,,,,,,"FloatingorClitic","FloatingorClitic",,,,,,,,,"D",,,"D",,,,,,"FloatingorClitic",,"D","D",,,,"Ø",,,,,"D","D",,,,,,,,,,"FloatingorClitic",,,,,,,,
211,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"H+D",,"D","D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
221,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,
225,"D","D",,,"Ø",,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,"Ø",,"D","D",,"Ø",,,,,,,,"D",,,"Ø",,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,"Ø",,,,,,FALSE,"D",,,"D",,,,,,"D",,"D","D",,,,,,,"Ø",,"D","D",,"Ø",,,,,,,,"D",,,"Ø",,,,,,"D","D",,,"Ø",,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,"Ø",,"D","D",,"Ø",,,,,,,,"D",,,"Ø",,,,,
232,"H","H",,,,,,,,,"Ø",,,"Ø","H",,,,,"Ø",,"D","D",,,,,,,"H",,"H","H",,,,,,,,,,"Ø",,,"H",,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"Ø","H",,,,,"Ø",,"D","D",,,,,,,"H",,"H","H",,,,,,,,,,"Ø",,,"H",,,,,,"H","H",,,,,,,,,"Ø",,,"Ø","H",,,,,"Ø",,"D","D",,,,,,,"H",,"H","H",,,,,,,,,,"Ø",,,"H",,,,,
299,"2","2",,,,,,,,,"D",,,,,,,,,"2",,"D on H","D on H",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,,,,,,,"H+D",,"D on H","D on H",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"D",,,,,,,,,"2",,"FloatingorClitic","FloatingorClitic",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
305,"Ø","Ø",,,,"D",,,,,,,,,,,,,,"Ø",,"Ø","Ø",,,,,,,,"D","Ø","Ø",,,"D",,,,,,,"Ø",,,,"D on H",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,"D",,,,,FALSE,,,,,,,,,,"Ø",,"Ø","Ø",,,,,,,,"D","Ø","Ø",,,"D",,,,,,,"Ø",,,,"D on H",,,,,"Ø","Ø",,,,"D",,,,,,,,,,,,,,"Ø",,"Ø","Ø",,,,,,,,"D","Ø","Ø",,,"D",,,,,,,"Ø",,,,"FloatingorClitic",,,,
317,"H","H",,,,,,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,
318,"2","2",,,,,,,,,"D",,,,,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,,,,,,,"H+D",,"D","D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"D",,,,,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
319,"2","2",,,,,,,,,,,,,,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"D","D",,,,,,,"H",,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,,,,,,
323,"H","H",,,,,,,,,"D",,,,,,,,,"Ø",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,"H",,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"D",,,,,,,,,"Ø",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,"H",,,,,,"H","H",,,,,,,,,"D",,,,,,,,,"Ø",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,"H",,,,,
324,"2","2",,,,,,,,,"D","Ø",,"Ø",,,,,,"Ø",,"F","F",,,,,,,,"2","2","2",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D","Ø",,"Ø",,,,,,"Ø",,"F","F",,,,,,,,"F+D","H+D","H+D",,,,,,,,,,"Ø",,,,,,,,,"2","2",,,,,,,,,"D","Ø",,"Ø",,,,,,"Ø",,"FloatingorClitic","FloatingorClitic",,,,,,,,"2","2","2",,,,,,,,,,"Ø",,,,,,,,
325,"2","2",,,,,,,,,,,,"2",,,,,,"2",,"D","D",,,,,,,"D on H",,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"H+D",,,,,,"H+D",,"D","D",,,,,,,"d on h",,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,"2",,,,,,"2",,"D","D",,,,,,,"FloatingorClitic",,"2","2",,,,,,,,,,"2",,,,,,,,
326,"2","2",,,,,,,,,,,,,,,,,,"D",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"D",,"H","H",,,,,,,,,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"D",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,
327,"2","2",,,,,,,,,,,,"2",,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"H+D",,,,,,"H+D",,"h+D","h+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,"2",,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
