"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
646,"D","default","D","P","#ANY#","D","B-default"
646,"H","default","H","POSS","#ANY#","H","POSS-default"
646,"D","default","D","P","#ANY#","D","U-default"
646,"2","default","H+D","S","#ANY#","2","S-default"
648,"H","conditioned","H","POSS","N-inal","H","POSS-default"
648,"D","conditioned","D","POSS","N-alien","D","POSS-default"
648,"F","default","F","A","#ANY#","FloatingorClitic","A-default"
648,"D","default","D","P","#ANY#","D","B-default"
648,"H","default","H","POSS","#ANY#","H","POSS-default"
648,"H","default","H","S","#ANY#","H","S-default"
648,"H","default","H","P","#ANY#","H","U-default"
649,"Ø","default","Ø","A","#ANY#","Ø","A-default"
649,"D","default","D","P","#ANY#","D","B-default"
649,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
649,"D","default","D","POSS","#ANY#","D","POSS-default"
649,"Ø","default","Ø","S","#ANY#","Ø","S-default"
649,"Ø","default","Ø","P","#ANY#","Ø","U-default"
654,"H","default","H","A","#ANY#","H","A-default"
654,"Ø","default","Ø","P","#ANY#","Ø","B-default"
654,"H","default","H","POSS","#ANY#","H","POSS-default"
654,"H","default","H","P","#ANY#","H","U-default"
654,"H","default","H","S","#ANY#","H","S-default"
656,"Ø","default","Ø","P","N","Ø","U-default"
656,"D","default","D","P","N","D","B-default"
656,"D","conditioned","D","P","Pro","D","U-default"
656,"D","conditioned","D","P","Pro","D","B-default"
656,"H","conditioned","H","POSS","N-kin","H","POSS-default"
656,"H","default","H","A","#ANY#","H","A-default"
656,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
656,"H","default","H","S","#ANY#","H","S-default"
656,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
656,"D","conditioned","D","ATTR","#ANY#","D","ATTR-default"
660,"D","default","D","A","#ANY#","D","A-default"
660,"D","default","D","P","#ANY#","D","B-default"
660,"D","default","D","POSS","#ANY#","D","POSS-default"
660,"D","default","D","S","#ANY#","D","S-default"
660,"D","default","D","P","#ANY#","D","U-default"
660,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
662,"D","default","D","A","#ANY#","D","A-default"
662,"D","default","D","S","#ANY#","D","S-default"
662,"D","default","D","P","#ANY#","D","U-default"
663,"2","default","h+D","A","#ANY#","D","A-default"
663,"2","default","h+D","P","#ANY#","D","U-default"
667,"D","default","D","POSS","N","D","POSS-default"
667,"H","conditioned","H","POSS","Pro","H","POSS-default"
667,"2","conditioned","H+D","POSS","N-inal","2","POSS-default"
667,"2","default","H+D","A","#ANY#","2","A-default"
667,"2","default","H+D","P","#ANY#","2","B-default"
667,"2","default","H+D","S","#ANY#","2","S-default"
667,"2","default","H+D","P","#ANY#","2","U-default"
667,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
668,"H","default","H","A","#ANY#","H","A-default"
668,"H","default","H","POSS","#ANY#","H","POSS-default"
668,"H","default","H","P","#ANY#","H","B-default"
668,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
668,"H","default","H","S","#ANY#","H","S-default"
668,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
668,"H","default","H","P","#ANY#","H","U-default"
669,"H","default","H","A","#ANY#","H","A-default"
669,"D","default","D","P","#ANY#","D","B-default"
669,"H","default","H","POSS","#ANY#","H","POSS-default"
669,"H","default","H","S","#ANY#","H","S-default"
669,"H","default","H","P","#ANY#","H","U-default"
669,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
685,"D","default","D","A","#ANY#","D","A-default"
685,"D","default","D","P","#ANY#","D","B-default"
685,"D","default","D","POSS","#ANY#","D","POSS-default"
685,"D","default","D","S","#ANY#","D","S-default"
685,"D","default","D","P","#ANY#","D","U-default"
686,"D","default","D","POSS","N","D","POSS-default"
686,"D on H","conditioned","D on H","POSS","Pro","FloatingorClitic","POSS-default"
686,"2","default","H+D","A","#ANY#","2","A-default"
686,"D","default","D","P","#ANY#","D","B-default"
686,"2","default","H+D","S","#ANY#","2","S-default"
686,"D","default","D","P","#ANY#","D","U-default"
687,"D","default","D","A","#ANY#","D","A-default"
687,"D","default","D","P","#ANY#","D","B-default"
687,"2","default","H+D","POSS","#ANY#","2","POSS-default"
687,"D","default","D","P","#ANY#","D","T-default"
687,"2","default","H+D","S","#ANY#","2","S-default"
687,"2","default","H+D","P","#ANY#","2","U-default"
692,"D","conditioned","D","POSS","Pro","D","POSS-default"
692,"H","conditioned","H","POSS","N-inal","H","POSS-default"
692,"H","default","H","A","#ANY#","H","A-default"
692,"Ø","default","Ø","P","#ANY#","Ø","B-default"
692,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
692,"H","default","H","S","#ANY#","H","S-default"
692,"H","default","H","P","#ANY#","H","U-default"
692,"D","default","D","ATTR","#ANY#","D","ATTR-default"
722,"2","default","h+d","P","N-hum","2","U-default"
722,"2","default","h+d","A","N-anim","2","A-default"
722,"H","default","h","S","N-anim","H","S-default"
885,"H","default","H","A","#ANY#","H","A-default"
885,"H","default","H","P","#ANY#","H","B-default"
885,"H","default","H","POSS","#ANY#","H","POSS-default"
885,"H","default","H","S","#ANY#","H","S-default"
885,"H","default","H","P","#ANY#","H","U-default"
885,"H","default","H","P","#ANY#","H","T-default"
917,"D","default","D","A","#ANY#","D","A-default"
917,"D","default","D","P","#ANY#","D","B-default"
917,"2","default","H+D","S","#ANY#","2","S-default"
917,"D","default","D","POSS","#ANY#","D","POSS-default"
917,"D","conditioned","D","S","#ANY#","D","S-default"
917,"D","conditioned","D","P","#ANY#","D","U-default"
917,"2","default","H+D","P","#ANY#","2","U-default"
942,"D","default","D","P","#ANY#","D","B-default"
942,"D","default","D","A","#ANY#","D","A-default"
942,"D","default","D","POSS","#ANY#","D","POSS-default"
942,"D","conditioned","D","S","#ANY#","D","S-default"
942,"2","default","H+D","S","#ANY#","2","S-default"
942,"2","default","H+D","P","#ANY#","2","U-default"
942,"D","conditioned","D","P","#ANY#","D","U-default"
1108,"H","default","H","A","#ANY#","H","A-default"
1108,"H","default","HH","P","#ANY#","H","B-default"
1108,"H","default","HH","POSS","#ANY#","H","POSS-default"
1108,"H","default","H","P","#ANY#","H","U-default"
1108,"H","default","H","S","#ANY#","H","S-default"
1527,"H","default","H","A","#ANY#","H","A-default"
1527,"H","default","H","P","#ANY#","H","B-default"
1527,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
1527,"D on H","default","D on H","POSS","#ANY#","FloatingorClitic","POSS-default"
1527,"H","default","H","S","#ANY#","H","S-default"
1527,"H","default","H","P","#ANY#","H","U-default"
1527,"D","default","D","ATTR","#ANY#","D","ATTR-default"
1542,"D","default","D","P","#ANY#","D","B-default"
1542,"D","default","D","A","#ANY#","D","A-default"
1542,"D","default","D","POSS","#ANY#","D","POSS-default"
1542,"D","conditioned","D","P","#ANY#","D","U-default"
1542,"2","default","H+D","S","#ANY#","2","S-default"
1542,"D","conditioned","D","S","#ANY#","D","S-default"
1542,"2","default","H+D","P","#ANY#","2","U-default"
1621,"H","default","H","A","#ANY#","H","A-default"
1621,"H","default","H","POSS","#ANY#","H","POSS-default"
1621,"H","default","H","S","#ANY#","H","S-default"
1621,"H","default","H","P","#ANY#","H","U-default"
1623,"H","default","H","A","#ANY#","H","A-default"
1623,"H","default","H","P","#ANY#","H","B-default"
1623,,"default","H/F","POSS","#ANY#","2","POSS-default"
1623,"H","default","H","P","#ANY#","H","U-default"
1692,"D","default","D","A","#ANY#","D","A-default"
1692,"D","default","D","P","#ANY#","D","B-default"
1692,"D on H","conditioned","D on H","POSS","#ANY#","FloatingorClitic","POSS-default"
1692,"D","default","D","POSS","#ANY#","D","POSS-default"
1692,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
1692,"D","default","D","S","#ANY#","D","S-default"
1692,"D","default","D","P","#ANY#","D","U-default"
1706,"H","default","H","A","#ANY#","H","A-default"
1706,"2","default","H+D","P","#ANY#","2","B-default"
1706,"2","default","H+D","S","#ANY#","2","S-default"
1706,"2","default","H+D","P","#ANY#","2","U-default"
1750,"2","default","H+D","A","#ANY#","2","A-default"
1750,"D","default","D","POSS","#ANY#","D","POSS-default"
1750,"2","default","H+D","S","#ANY#","2","S-default"
1750,"D","default","D","P","#ANY#","D","U-default"
1807,"D","default","D","A","#ANY#","D","A-default"
1807,"D","default","D","P","#ANY#","D","B-default"
1807,"2","default","H+D","S","#ANY#","2","S-default"
1807,"D","default","D","POSS","#ANY#","D","POSS-default"
1807,"D","conditioned","D","S","#ANY#","D","S-default"
1807,"D","conditioned","D","P","#ANY#","D","U-default"
1807,"2","default","H+D","P","#ANY#","2","U-default"
1936,"2","default","H+D","A","#ANY#","2","A-default"
1936,"H","default","H","POSS","#ANY#","H","POSS-default"
1936,"2","default","H+D","S","#ANY#","2","S-default"
1936,"2","default","H+D","P","#ANY#","2","U-default"
2015,"D","default","D","A","#ANY#","D","A-default"
2015,"D","default","D","P","#ANY#","D","B-default"
2015,"D","default","D","POSS","#ANY#","D","POSS-default"
2015,"D","default","D","P","#ANY#","D","U-default"
2015,"D","default","D","S","#ANY#","D","S-default"
2142,"H","default","H","A","#ANY#","H","A-default"
2142,"2","conditioned","H+D","A","#ANY#","2","A-default"
2142,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
2142,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
2142,"H","default","H","S","#ANY#","H","S-default"
2142,"2","conditioned","H+D","S","#ANY#","2","S-default"
2142,"2","default","H+D","P","#ANY#","2","U-default"
2308,"H","default","H","A","#ANY#","H","A-default"
2308,"H","default","H","POSS","#ANY#","H","POSS-default"
2308,"H","default","H","P","#ANY#","H","B-default"
2308,"H","default","H","S","#ANY#","H","S-default"
2308,"H","default","H","P","#ANY#","H","U-default"
2308,"H","default","H","P","#ANY#","H","T-default"
2412,"H","default","H","A","#ANY#","H","A-default"
2412,"H","default","H","P","#ANY#","H","B-default"
2412,"H","default","H","POSS","#ANY#","H","POSS-default"
2412,"H","default","H","S","#ANY#","H","S-default"
2412,"H","default","H","P","#ANY#","H","U-default"
2450,"H","default","H","A","#ANY#","H","A-default"
2450,"H","default","H","POSS","#ANY#","H","POSS-default"
2450,"H","default","H","S","#ANY#","H","S-default"
2450,"H","default","H","P","#ANY#","H","U-default"
2471,"D on H","conditioned","d on h","P","Pro","FloatingorClitic","U-default"
2471,"2","default","H+D","A","#ANY#","2","A-default"
2471,"2","default","H+D","P","#ANY#","2","B-default"
2471,"D on H","conditioned","h+d on h","P","#ANY#","FloatingorClitic","B-default"
2471,"D","default","D","POSS","#ANY#","D","POSS-default"
2471,"D","default","D","P","#ANY#","D","U-default"
2471,"2","default","H+D","S","#ANY#","2","S-default"
2564,"H","default","H","POSS","#ANY#","H","POSS-default"
2564,"H","default","H","P","#ANY#","H","U-default"
2577,"D","default","D","A","#ANY#","D","A-default"
2577,"D","default","D","P","#ANY#","D","B-default"
2577,"D","default","D","POSS","#ANY#","D","POSS-default"
2577,"2","default","H+D","S","#ANY#","2","S-default"
2577,"2","default","H+D","P","#ANY#","2","U-default"
2641,"2","default","H+D","A","#ANY#","2","A-default"
2641,"2","default","H+D","P","#ANY#","2","B-default"
2641,"D","default","D","POSS","#ANY#","D","POSS-default"
2641,"2","default","H+D","S","#ANY#","2","S-default"
2641,"2","default","H+D","P","#ANY#","2","U-default"
2826,"2","default","H+D","A","#ANY#","2","A-default"
2826,"D","default","D","P","#ANY#","D","B-default"
2826,"D","default","D","POSS","#ANY#","D","POSS-default"
2826,"D","conditioned","D","S","#ANY#","D","S-default"
2826,"2","default","H+D","S","#ANY#","2","S-default"
2826,"2","default","H+D","P","#ANY#","2","U-default"
2826,"D","conditioned","D","P","#ANY#","D","U-default"
2873,"2","default","H+D","A","#ANY#","2","A-default"
2873,"2","default","H+D","POSS","#ANY#","2","POSS-default"
2873,"2","default","H+D","S","#ANY#","2","S-default"
2873,"2","default","H+D","P","#ANY#","2","U-default"
2949,"2","default","H+D","A","#ANY#","2","A-default"
2949,"D","default","D","P","#ANY#","D","B-default"
2949,"D","default","D","POSS","#ANY#","D","POSS-default"
2949,"D","conditioned","D","S","#ANY#","D","S-default"
2949,"2","default","H+D","P","#ANY#","2","U-default"
2949,"D","conditioned","D","P","#ANY#","D","U-default"
2949,"2","default","H+D","S","#ANY#","2","S-default"
2984,"H","default","H","A","#ANY#","H","A-default"
2984,"D","default","D","POSS","#ANY#","D","POSS-default"
2984,"H","default","H","S","#ANY#","H","S-default"
2994,"H","default","H","A","#ANY#","H","A-default"
2994,"H","default","H","POSS","#ANY#","H","POSS-default"
2994,"H","default","H","S","#ANY#","H","S-default"
2994,"H","conditioned","H","P","#ANY#","H","U-default"
2994,"Ø","default","Ø","P","#ANY#","Ø","U-default"
3101,"D","conditioned","D","A","Pro","D","A-default"
3101,"D","conditioned","D","S","Pro","D","S-default"
3101,"H","conditioned","H","P","Pro","H","B-default"
3101,"D","conditioned","D","P","Pro","D","U-default"
3101,"H","default","H","A","#ANY#","H","A-default"
3101,"D","default","D","P","#ANY#","D","B-default"
3101,"2","default","H+D","POSS","#ANY#","2","POSS-default"
3101,"H","default","H","S","#ANY#","H","S-default"
3101,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
3101,"H","default","H","P","#ANY#","H","U-default"
3232,"2","default","h+D","A","#ANY#","D","A-default"
3232,"D","default","D","P","#ANY#","D","B-default"
3232,"D","default","D","POSS","#ANY#","D","POSS-default"
3232,"2","default","h+D","S","#ANY#","D","S-default"
3232,"D","default","D","P","#ANY#","D","U-default"
3235,"2","default","H+D","A","#ANY#","2","A-default"
3235,"D","default","D","POSS","#ANY#","D","POSS-default"
3235,"2","default","H+D","S","#ANY#","2","S-default"
3235,"D","default","D","P","#ANY#","D","U-default"
3239,"2","default","H+D","A","#ANY#","2","A-default"
3239,"D","default","D","POSS","#ANY#","D","POSS-default"
3239,"2","default","H+D","P","#ANY#","2","B-default"
3239,,"conditioned","P","POSS","#ANY#",,"POSS-default"
3239,"2","default","H+D","S","#ANY#","2","S-default"
3239,"2","default","H+D","P","#ANY#","2","U-default"
3240,"H","default","H","A","#ANY#","H","A-default"
3240,"H","default","H","POSS","#ANY#","H","POSS-default"
3240,"H","default","H","S","#ANY#","H","S-default"
3240,"H","default","H","P","#ANY#","H","U-default"
