"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
365,"D","default","D","ATTR","#ANY#","D","ATTR-default"
367,"2","default","H+D","A","#ANY#","2","A-default"
367,"D","default","D","POSS","#ANY#","D","POSS-default"
367,"2","default","H+D","S","#ANY#","2","S-default"
367,"2","default","H+D","P","#ANY#","2","U-default"
368,"D","conditioned","D","POSS","Pro","D","POSS-default"
368,"H","default","H","A","#ANY#","H","A-default"
368,"H","default","H","POSS","#ANY#","H","POSS-default"
368,"H","default","H","S","#ANY#","H","S-default"
368,"H","default","H","P","#ANY#","H","U-default"
369,"D","conditioned","D","POSS","Pro","D","POSS-default"
369,"H","default","H","A","#ANY#","H","A-default"
369,"D","default","D","P","#ANY#","D","B-default"
369,"H","default","H","POSS","#ANY#","H","POSS-default"
369,"H","default","H","S","#ANY#","H","S-default"
369,"Ø","default","Ø","P","#ANY#","Ø","U-default"
370,"H","default","H","A","#ANY#","H","A-default"
370,"D","default","D","P","#ANY#","D","B-default"
370,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
370,"H","default","H","POSS","#ANY#","H","POSS-default"
370,"Ø","conditioned","Ø","P","#ANY#","Ø","U-default"
370,"H","default","H","S","#ANY#","H","S-default"
370,"H","default","h","P","#ANY#","H","U-default"
370,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
373,"H","conditioned","H","P","Pro","H","U-default"
373,"Ø","conditioned","Ø","POSS","N-inal","Ø","POSS-default"
373,"H","conditioned","H","A","#ANY#","H","A-default"
373,"Ø","default","Ø","A","#ANY#","Ø","A-default"
373,"D","default","D","P","#ANY#","D","B-default"
373,"Ø","default","Ø","S","#ANY#","Ø","S-default"
373,"D","default","D","POSS","#ANY#","D","POSS-default"
373,"H","conditioned","H","S","#ANY#","H","S-default"
373,"Ø","default","Ø","P","#ANY#","Ø","U-default"
373,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
374,"Ø","default","Ø","A","#ANY#","Ø","A-default"
374,"Ø","default","Ø","S","#ANY#","Ø","S-default"
374,"D","default","D","POSS","#ANY#","D","POSS-default"
374,"Ø","default","Ø","P","#ANY#","Ø","U-default"
374,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
375,"D","default","D","A","#ANY#","D","Act"
375,"2","default","h+D","P","#ANY#","D","B-default"
375,"D","default","D","P","#ANY#","D","G-default"
375,"D","default","D","P","#ANY#","D","Pat"
375,"2","default","h+D","S","#ANY#","D","S-default"
375,"D","default","D","POSS","#ANY#","D","POSS-default"
375,"2","default","h+D","P","#ANY#","D","T-default"
375,"D","default","D","P","#ANY#","D","U-emp"
375,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
377,"H","default","H","A","#ANY#","H","A-default"
377,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
377,"H","default","H","POSS","#ANY#","H","POSS-default"
377,"H","default","H","S","#ANY#","H","S-default"
377,"H","default","H","P","#ANY#","H","U-default"
378,"H","conditioned","H","POSS","N","H","POSS-default"
378,"D","conditioned","D","POSS","Pro","D","POSS-default"
378,"Ø","default","Ø","POSS","N_or_Pro","Ø","POSS-default"
378,"H","default","H","A","#ANY#","H","A-default"
378,"H","default","H","S","#ANY#","H","S-default"
378,"H","default","H","P","#ANY#","H","U-default"
379,"2","conditioned","H+D","POSS","Pro","2","POSS-default"
379,"H","default","H","A","#ANY#","H","A-default"
379,"Ø","default","Ø","P","#ANY#","Ø","B-default"
379,"D","conditioned","D","A","#ANY#","D","A-default"
379,"H","default","H","POSS","#ANY#","H","POSS-default"
379,"H","default","H","S","#ANY#","H","S-default"
379,"D","conditioned","D","S","#ANY#","D","S-default"
379,"H","default","H","P","#ANY#","H","U-default"
382,"2","default","H+D","A","#ANY#","2","A-default"
382,"D","default","D","POSS","#ANY#","D","POSS-default"
382,"2","default","H+D","S","#ANY#","2","S-default"
382,"2","default","H+D","P","#ANY#","2","U-default"
383,"H","conditioned","H","POSS","N-inal","H","POSS-default"
383,"Ø","conditioned","Ø","POSS","N-inal","Ø","POSS-default"
383,"D","default","D","A","#ANY#","D","A-default"
383,"D","default","D","P","#ANY#","D","B-default"
383,"D","default","D","POSS","#ANY#","D","POSS-default"
383,"2","conditioned","H+D","P","#ANY#","2","U-default"
383,"D","default","D","S","#ANY#","D","S-default"
383,"2","conditioned","H+D","S","#ANY#","2","S-default"
383,"D","default","D","P","#ANY#","D","U-default"
383,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
384,"2","default","Hh+D","A","#ANY#","2","A-default"
384,"D on H","default","D on H","P","#ANY#","FloatingorClitic","B-default"
384,"D on H","default","D on H","POSS","#ANY#","FloatingorClitic","POSS-default"
384,"2","default","Hh+D","S","#ANY#","2","S-default"
384,"D on H","default","D on H","P","#ANY#","FloatingorClitic","U-default"
384,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
385,"D","default","D","A","#ANY#","D","A-default"
385,"D","default","D","P","#ANY#","D","B-default"
385,"D","default","D","POSS","#ANY#","D","POSS-default"
385,"D","default","D","S","#ANY#","D","S-default"
385,"D","default","D","P","#ANY#","D","U-default"
386,"H","default","H","A","#ANY#","H","A-default"
