"LID","VInflAktionsart.Position.binned4","VInflApplicative.Position.binned4","VInflAspect.Position.binned4","VInflCausative.Position.binned4","VInflClassifier.Position.binned4","VInflConnective.Position.binned4","VInflConstruct.Position.binned4","VInflControl.Position.binned4","VInflDeixis.Position.binned4","VInflVoice.Position.binned4","VInflFocus.Position.binned4","VInflPosterior.Position.binned4","VInflGender.Position.binned4","VInflIllocution.Position.binned4","VInflMA.Position.binned4","VInflMN.Position.binned4","VInflModality.Position.binned4","VInflMood.Position.binned4","VInflMotion.Position.binned4","VInflMSE.Position.binned4","VInflNominalizer.Position.binned4","VInflNumber.Position.binned4","VInflPerson.Position.binned4","VInflPolarity.Position.binned4","VInflPotentialis.Position.binned4","VInflQuantificational.Position.binned4","VInflReflexive_and_Reciprocal.Position.binned4","VInflRECIP.Position.binned4","VInflReferential.Position.binned4","VInflReflexive.Position.binned4","VInflRepetition.Position.binned4","VInflReversative.Position.binned4","VInflSemistem.Position.binned4","VInflSpatial.Position.binned4","VInflStatus.Position.binned4","VInflSwitch_reference.Position.binned4","VInflTense_and_Evidential.Position.binned4","VInflTA.Position.binned4","VInflTAM.Position.binned4","VInflTense.Position.binned4","VInflTM.Position.binned4","VInflValence.Position.binned4","VInflVersion.Position.binned4"
367,,,"post",,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,,,"post",,,
370,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
382,,,"post",,,,,,,,,,,,,,,"post",,"post",,"post",,"post",,"split","prae",,,,,,,,"post",,,,"post",,,,
383,,,"post","post",,,,,"post",,,,,,,,,"post",,,,,,"post",,"in/simul",,,,,,,,,,,,,,,,,
385,,,"split",,,,,,"post",,,,,,,,,,,,,,,"post",,"split",,,,,,,,,"post",,,,"post",,,,
385,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,"post",,,,,,,,,,,,,,"post",,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
389,,,,"post",,,,,,,,,,,,,,,,,,,,"split",,,,,,,,,"prae",,,,,,"post",,,,
390,,,"post",,,,,,"post",,,"prae",,,,,,,,,,"post",,,,,"post",,"prae",,,,,,"prae",,,,,,"post",,
392,,,"post","post",,,,,,"prae",,,,,,,,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,
392,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,
395,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,"post",,,,,,,,,,,,"post",,"post",,,,,,,,,,,,,,,"post",,,,
400,"in/simul","prae","post",,,,,,,,,,,,,,"post",,"post",,,,,,,,"post","prae",,,,,,,,,,,,,,,
401,,,,,,,,,,"post",,,,,,,,"prae",,,,,,,,"post",,,,,,,,,,,,,"post","post",,,
402,,,"post",,,"post",,,,,,,,,,,,"post",,,,,,,,,"post",,,,,,,,,,,,,,,,
406,,,"post","post",,,,,"post",,,,,"post",,,,,,,,"prae","post","post",,,,,,,,,,,,,,,"post",,,,
408,,,"post",,,,,,,,,,,,,,"post","post",,,,,,,,,,"post",,,,,,,,,,,,"post",,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,
411,,"prae","post","post",,,,,"prae",,,,,,,,,,,,,,,,,"post","prae",,,,,,,,,,,,,"prae",,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
413,,,"post",,,,,,"prae",,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,
418,,,"post",,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,,,
419,,,"post",,,,,,"post",,"prae",,,,,,,,,,,,,,,"in/simul",,,,,,,,,,,,"post",,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,
420,,,"post",,,,,,"prae","prae",,"post",,,,,,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,
421,,,,,,,,,,,,,,,,,,,,,,,,"prae","prae",,,,,,,,,,,,,"prae","prae",,,,
423,,,,,,,,,,,,"post",,,,,,,,,,"post",,"prae",,,"prae",,"post",,,,,,"prae",,,,"post",,,,
426,,"prae","post",,,,,,,"post",,,,,,,,,"post","post",,,,,,"post","prae",,,,,,,,,,,,,,,,
426,,,"split",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,"prae",,,,,,,,,,,,,,,,,,,"post",,"prae",,,,,,,,,,,,,,,,"prae",,,
429,"post","prae",,"post",,,,,,,,,,,,,,,,,,,,"post",,,,"prae",,"prae",,,,,,,,,,,"post",,
433,,,,,,,,,,,"post",,,"post",,,,"post",,,,"post",,"post",,,,,,,,,,,,,,"post",,,,"post",
435,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
458,"post",,,,,,,,"prae",,,,,"prae",,,,"prae",,,,"post",,"prae",,,,,,,,,,,,,,,"post",,,"prae",
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
461,,,,,,,,,,"prae",,,,,,,,,,,,"prae",,"prae",,"post",,,,,,,,,,,,"prae",,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,
464,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
469,"post",,"post",,,,,,,,,,,,,,,"post",,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
481,,,"post",,,,,,"prae","post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,,"prae"
491,,,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
495,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,"post",
498,,,"prae",,,,,,,"prae","prae",,,,,,,,,,,"post",,"prae",,,"prae",,,,"prae",,,,,,,,,"prae",,,
498,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
511,,,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,
514,,"post","post",,,,,,,,,,,,,,,,,,,,,"post",,"post","post",,,,,,,,,,"post",,,,,,
515,,,,,,,,,,,,,,"post",,,,,,,,,,"post",,,,,,,,,,,,,,,"prae",,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
526,,,"post",,,,,,"post",,,,,,,,,"post",,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
527,,,"post","post",,,,,,"post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,
528,,,,,,,,,,,,,,,,,,,,,,,,"post",,"post",,,,,,,,,,,,,"post",,,,
530,,,,,,,,,,,,,,"post",,,,,,,,"in/simul","post","post",,,,,,,,,,,,,,,,"post",,,
533,"post",,"post",,,,,,,,,,,,,,,"post","post",,,,,"post",,,,,,,,,,,,,,,,"post",,,
540,,,"post",,,,,,,,,,,,,,,,,,,,,"in/simul",,,,,,,,,,,,,,,"prae",,,,
