LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
744,amas1236,Nyimang,nyi,"Ama,Nyimang",Nyima,,Core Nilo-Saharan,Eastern Sudanic,,,,,,29.33,12.17,,,,,Africa,Africa,African Savannah,Africa
745,alng1239,Anguthimri,aid,Anguthimri,Pama-Nyungan,,,Macro-Pama-Nyungan,Paman,Northern Pama,,,,141.83,-12.33,,,,,Australia,Australia,N Australia,Pacific
746,abuu1241,Arapesh (Abu),ado,"Arapesh (Abu), But Arapesh, Weri",Torricelli,,,Torricelli-Lower Sepik,Kombio,Arapesh,,,,142.95,-3.45,,,,not hg,Pacific,NG and Oceania,N Coast New Guinea,Pacific
747,jira1235,Ayomán,NA,Ayomán,Jirajaran,,,,,,,,,-69,11,,,,,South America,S America,NE South America,Americas
748,azer1255,Azerbaijani,aze,Azerbaijani,Turkic,,,Altaic,Common Turkic,Oghuz,,,,48.5,40.5,Caucasus,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
749,bare1276,Bahuana,bae,Bahuana,Arawakan,,,,North Amazonian,,,,,-62.5,-0.5,,,,,South America,S America,NE South America,Americas
750,cent2194,Berber (Figuig),tzm,Berber (Figuig),Berber,,,Afroasiatic,,,,Berber,,-1.5,32.5,,,,,Africa,Africa,N Africa,Africa
751,beto1236,Betoi,qtd,Betoi,Betoi,,,,,,,,,-71.25,7.17,,,,not hg,South America,S America,NE South America,Americas
752,boka1249,Bokar,NA,Bokar,Sino-Tibetan,,,,Tani,Eastern Tani,,,,94.67,28.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
753,bori1243,Bori,adi,Bori,Sino-Tibetan,,,,Tani,Western Tani,,,,94.75,28.33,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
754,bugu1246,Bugun,bgg,Bugun,Sino-Tibetan,,,,Greater Sherdukpen,,,,,92.58,27.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
755,yind1248,Bularnu,yil,Bularnu,Pama-Nyungan,,,Macro-Pama-Nyungan,Warluwarric,,,,,138,-21,,,,,Australia,Australia,S Australia,Pacific
756,cane1242,Canela,ram,"Canela, Kanela",Macro-Ge,,,,Ge,Amazonian Ge,Northern Ge,,,-45,-6,,,,,South America,S America,NE South America,Americas
757,rogu1236,Chasta Costa,coq,Chasta Costa,Na-Dene,,,,Athabaskan,,,,,-124,42.67,,,,not hg,North America,W N America,California,Americas
758,chim1310,Chemakum,xch,Chemakum,Chimakuan,,,,,,,,,-122.92,48.08,,,,hg,North America,W N America,Alaska-Oregon,Americas
759,cola1237,Colac,NA,Colac,Pama-Nyungan,,,Macro-Pama-Nyungan,Kulinic,,,,,143.5,-38.33,,,,,Australia,Australia,S Australia,Pacific
760,come1251,Comecrudo,xcm,Comecrudo,Comecrudan,,,,,,,,,-99,25.83,,,,not hg,North America,C America,Mesoamerica,Americas
761,sout2986,Costanoan,css,Costanoan,Yokuts-Utian,,,California-Plateau Penutian,Utian,Miwok-Costanoan,Costanoan,,,-122,37,,,,hg,North America,W N America,California,Americas
762,cuic1234,Cuica,,"Cuica, Timoté, Timoté-Cuica",Macro-Ge,,,,Timotean,,,,,-70.5,9,,,,,South America,S America,NE South America,Americas
763,nort2735,Dong,doc,Dong,Tai-Kadai,,,,,,,,,109,27,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
